Contingency Plan-Drought Habitations Report - 2016,,,,,,,,,,,,,,,,,,,,,,,
District:PRAKASAM,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Mandal,HabitationName/Code,Scarcity Name,Transportation,,Hiring of Private Sources,,Flushing of BW,,Deepening of OW,,Deepening of OW,,Anticipated max.period for,,Filling of SS Tanks,,,Power Problem,Power Estimate,Measures To Tackle Scarcity,,Remarks
,,,,,,,,,,(Includes Flushing),,,,Trans/Hiring,,,,,,,permanently,,
,,,,Trans,Transport Estimate,Hiring of Sources,Hiring Estimate,Flushing,Flushing Estimate,Deepening,Deepening Estimate,Deepening OW,Deepening OW Estimate,From Date,To Date,SST NUM,SST EST,SCHEME,,,Type Of Work,Work Estimate Cost,
,,,,Yes/No,,,,,,,,,,,,,,,,,,,
1,MADDI PADU,VENKATARAJU PALEM/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,OTHERS,20,20 Kl OHSR & GM
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
2,MADDI PADU,NELATURIVARI PALEM/,-,No,0,0,0,0,0,0,0,0,0,-,-,1,0.5,PWS,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
3,MADDI PADU,MALLAVARAM/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,AUG,15,New source Infiltration Well
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
4,MADDI PADU,BEZAVADAVARI PALEM/,SOURCE DRIED UP,Yes,1.5,0,0,0,0,0,0,0,0,########,########,0,0,-,No,0,EXTN,8,Extention of pipe line
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
5,MADDI PADU,DODDA VARAM/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,EXTN,5,Extension of Pipe line to New colony
,,811000000000000,,,,,,,,,,,,,,,,,,,,,
6,MADDI PADU,KOVIVARI PALEM/,SOURCE DRIED UP,Yes,1.5,0,0,0,0,0,0,0,0,########,########,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
7,MADDI PADU,VELLAM PALLI/,SOURCE DRIED UP,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,OTHERS,30,OHSR & distribution in SC Colony
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
8,MADDI PADU,MADDI PADU/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,AUG,50,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
9,MADDI PADU,NARASAI PALEM/,SOURCE DRIED UP,Yes,2,0,0,0,0,0,0,0,0,########,########,1,0.1,PWS,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
10,MADDI PADU,PEDAKOTHA PALLI/,SOURCE DRIED UP,Yes,7.5,0,0,0,0,0,0,0,0,########,########,1,0.3,PWS,No,0,EXTN,10,distribution in SC Colony
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
11,MADDI PADU,MARELLAGUNTA PALEM/,-,No,0,0,0,0,0,0,0,0,0,-,-,1,0.2,PWS,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
12,MADDI PADU,LINGIMGUNTA/,SOURCE DRIED UP,Yes,5,0,0,0,0,0,0,0,0,########,########,1,0.6,PWS,No,0,AUG,25,Replacement of Old Distribution
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
13,MADDI PADU,NELATUR/,-,No,0,0,0,0,0,0,0,0,0,-,-,1,0.4,PWS,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
14,MADDI PADU,BASAVANNA PALEM/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,AUG,20,Fileter Bed & Improvements of DW tank
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
15,MADDI PADU,NANDI PADU/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,EXTN,5,Distribution SC Colony
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
16,CHIMAKURTHY,ILAPAVULURU/,-,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,OTHERS,6,-
,,811000000000000,,,,,,,,,,,,,,,,,,,,,
17,CHIMAKURTHY,GONEPALLIVARI PALEM/,-,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,EXTN,8,-
,,811000000000000,,,,,,,,,,,,,,,,,,,,,
18,MUNDLAMUR,CHINTALAPUDI/,G.W TABLE DEPLETION,Yes,5.92,4,0.24,0,0,0,0,0,0,########,########,0,0,-,No,0,OTHERS,5,-
,,811000000000000,,,,,,,,,,,,,,,,,,,,,
19,MUNDLAMUR,NANDAMURINAGAR/,G.W TABLE DEPLETION,Yes,12.24,4,0.24,0,0,0,0,0,0,########,########,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
20,MUNDLAMUR,PALAKURALLATHANDA/,G.W TABLE DEPLETION,No,2.88,4,0.24,2,0.1,0,0,0,0,########,########,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
21,MUNDLAMUR,JAGATH NAGAR/,G.W TABLE DEPLETION,Yes,2.88,4,0.24,0,0,0,0,0,0,########,########,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
22,KANDUKURU,YANADI COLONY/,SOURCE DRIED UP,Yes,0.5,0,0,0,0,0,0,0,0,########,########,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
23,KANDUKURU,ANANTHASAGARAM/,SOURCE DRIED UP,Yes,2,0,0,0,0,0,0,0,0,########,########,0,0,-,No,0,-,0,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
24,KANDUKURU,VIKKIRALAPET/,PIPE LINE DAMAGE,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,EXTN,3,extension to replace the damaged pipeline
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
25,KANDUKURU,K.M.PALEM/,PIPE LINE DAMAGE,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,AUG,3,extension to damaged pipe line
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
26,KANDUKURU,OGURU/,SOURCE DRIED UP,Yes,1.9,0,0,0,0,0,0,0,0,########,########,0,0,-,No,0,OTHERS,6,new source with distribution
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
27,KANDUKURU,KOVURU/,OTHERS,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,EXTN,5,to replace the damaged pipeline
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
28,TALLUR,LAKKAVARAM/,G.W TABLE DEPLETION,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,OTHERS,2,-
,,812000000000000,,,,,,,,,,,,,,,,,,,,,
29,TALLUR,TALLUR/,PIPE LINE DAMAGE,No,0,0,0,0,0,0,0,0,0,-,-,0,0,-,No,0,EXTN,15,-
,,811000000000000,,,,,,,,,,,,,,,,,,,,,
