Habitation_name,code,date,population_served,Tanker_capacity,Trips,Quantity,cost_of_trip,amount
Sirigiripalli,,01/11/16,432,5.00,2.00,10.00,430,860
Kammaguttapalli,,01/11/16,737,5.00,3.00,15.00,430,1290
K.C.palli,,20/10/16,370,5.00,2.00,10.00,430,860
Jogyanuru,,16/02/17,465,5.00,2.00,10.00,430,860
Nalagampalli,,01/03/17,851,5.00,2.00,10.00,430,860
Bandakothuru,,01/03/17,455,5.00,1.00,5.00,430,430
Ontipalli,,01/03/17,565,5.00,1.00,5.00,430,430
Kodathanapalli,,04/03/17,370,5.00,1.00,5.00,430,430
Avulathimmanapalli,,06/03/17,370,5.00,1.00,5.00,430,430
Gevigutta chenu,,01/01/17,105,5.00,1.00,5.00,430,430
Otticheruv kotalu,,01/01/17,155,5.00,2.00,10.00,430,860
Sapanikunta&Adavibududugur sc colony,,01/01/17,220,5.00,2.00,10.00,430,860
papayakotalu,,01/01/17,102,5.00,1.00,5.00,430,430
Zitarimadugu,,01/01/17,164,5.00,2.00,10.00,430,860
Pai chekkunatham,,01/01/17,210,5.00,1.00,5.00,430,430
Pedda boggupalli,,01/01/17,320,5.00,2.00,10.00,430,860
Kothuru,,01/01/17,103,5.00,1.00,5.00,430,430
Katanuru Kottalu,,01/01/17,152,5.00,1.00,5.00,430,430
Chinnanna kottalu,,01/01/17,165,5.00,1.00,5.00,430,430
Chekkunatham,,01/01/17,565,5.00,2.00,10.00,430,860
Babunagar,,01.03.2017,105,5.00,1.00,5.00,430,430
Dolagutta ST Colony,,01.03.2017,118,5.00,1.00,5.00,430,430
Bayanuru bairappa kotalu,,01/01/17,682,5.00,3.00,15.00,430,1290
DK PALLI ,,01/01/17,1124,5.00,10.00,50.00,430,4300
Gariga chinnepalli ZPH school,,01/01/17,195,5.00,1.00,5.00,430,430
Gattu And balayya kottalu,,01/01/17,352,5.00,1.00,5.00,430,430
Diguva & EGUVA  kaki madugu,,01/01/17,525,5.00,4.00,20.00,430,1720
S C Colony,,01/01/17,320,5.00,3.00,15.00,430,1290
Vepanapalli,,01/01/17,400,5.00,1.00,5.00,430,430
B C Colony,,01/01/17,400,5.00,3.00,15.00,430,1290
Siddappakottalu,,01.01.2017,300,5,1,5,430,430
Yanadipalli ,,01/01/17,245,5.00,3.00,15.00,430,1290
varamanuru,,01/01/17,268,5.00,3.00,15.00,430,1290
Matarlapalli ,,01/01/17,180,5.00,2.00,10.00,430,860
Gangapuram,,01/01/17,175,5.00,2.00,10.00,430,860
Shekar Nagar,,01/01/17,50,5.00,0.50,2.50,430,215
Rallachenu and N.G.chenu,,01/01/17,693,5.00,2.00,10.00,430,860
Moturu,,01/01/17,124,5.00,2.00,10.00,430,860
Siddappanuru,,01/01/17,441,5.00,2.00,10.00,430,860
Balramkotalu&nakkabonumitta,,01/01/17,276,5.00,2.00,10.00,430,860
Samannakotalu,,01/01/17,380,5.00,2.00,10.00,430,860
Thapalraj street and Narayanaswamy street,,01/01/17,600,5.00,5.00,25.00,430,2150
Old post office street,,01/01/17,450,5.00,2.00,10.00,430,860
police quaters,,01/01/17,100,5.00,0.50,2.50,430,215
Narayan swamy street,,01/01/17,520,5.00,2.00,10.00,430,860
Pedda gangamma temple street and ramnagar,,01/01/17,450,5.00,1.00,5.00,430,430
kummara street,,01/01/17,350,5.00,0.50,2.50,430,215
Gangamma temple street ,,01/01/17,450,5.00,0.50,2.50,430,215
Ram nagar & extension street ,,01/01/17,750,5.00,3.00,15.00,430,1290
M.K nuru st colony Munaswamy kottalu and nerlakottalu,,01/01/17,560,5.00,2.00,10.00,430,860
Uppakottalu and Muddulappa kottalu,,01/01/17,256,5.00,2.00,10.00,430,860
Durgasamudram amd Parthichenu,,01/01/17,461,5.00,2.00,10.00,430,860
Chinna Obba ZPHS School and T.Sadumuru,,01/01/17,489,5.00,2.00,10.00,430,860
Bodeppakottalu and Veeraswamy kottalu,,01/01/17,546,5.00,2.00,10.00,430,860
Bashakottalu Kuppuswamy kottalu,,01/01/17,521,5.00,2.00,10.00,430,860
motla chenu Krishnapuram and h kotalu,,01/01/17,460,5.00,3.00,15.00,430,1290
BAYAPPA KOTALU Mallanuru and Paravathinagar,,01/01/17,460,5.00,3.00,15.00,430,1290
CHINAYA KOTALU,,01/01/17,460,5.00,1.00,5.00,430,430
NERLAKOTALU,,01/01/17,460,5.00,1.00,5.00,430,430
NADIMURUKOTALU,,01/01/17,460,5.00,1.00,5.00,430,430
MUTHURU,,01/01/17,460,5.00,1.00,5.00,430,430
MUNEPPA KOTALU,,01/01/17,460,5.00,1.00,5.00,430,430
KOTHACHENU,,01/01/17,460,5.00,1.00,5.00,430,430
Ponnanguru B C colony,  Bank veedi,,01/01/17,630,5.00,2.00,10.00,430,860
Kullayappa kottalu,,01/01/17,148,5.00,1.00,5.00,430,430
Mulakalapalli Kottalu,,01/01/17,152,5.00,1.00,5.00,430,430
EGUVA AND DIGUVA MANKADODDI ,,01/01/17,393,5.00,3.00,15.00,430,1290
Peddagopanapalli Village and School,,01/01/17,625,5.00,4.00,20.00,430,1720
Athuru,,01/01/17,589,5.00,3.00,15.00,430,1290
D.agraharam,,01/01/17,439,5.00,2.00,10.00,430,860
Chinnagopanapalli,,01/01/17,350,5.00,2.00,10.00,430,860
Athuru Kottalu,,15/02/2017,350,5.00,2.00,10.00,430,860
Settiganikunta,,01/01/17,352,5.00,2.00,10.00,430,860
Sajjalapalli,,01/01/17,412,5.00,2.00,10.00,430,860
Kunjeganuru,,01/01/17,455,5.00,3.00,15.00,430,1290
Nimakampalli &sajallapalli kotalu,,01/01/17,286,5.00,1.50,7.50,430,645
Nadimuru gollapalli & jogindlu,,01/01/17,685,5.00,3.00,15.00,430,1290
Noolukunta B C Colony,,01/01/17,500,5.00,1.00,5.00,430,430
S C Colony,,01/01/17,550,5.00,2.00,10.00,430,860
Challarlapalli miita and marwada ,,01/01/17,550,5.00,2.00,10.00,430,860
Chinnaboggupalli& garuguchenu kotalu,,01/01/17,400,5.00,3.00,15.00,430,1290
Paipalyam,,01/01/17,400,5.00,2.00,10.00,430,860
Kadirappa kotalu bodibonda kotalu,,01/01/17,400,5.00,3.00,15.00,430,1290
B C Colony,,01/01/17,550,5.00,2.00,10.00,430,860
Mangammavuru and Kokkanuru,,01/01/17,300,5.00,2.00,10.00,430,860
JALLAPPA KOTALU,,01/01/17,260,5.00,1.00,5.00,430,430
BANDLASETTY PALLI,,01/01/17,260,5.00,3.00,15.00,430,1290
THANJAMMAKOTTALU,,01/01/17,260,5.00,2.00,10.00,430,860
Cheegalapalli,,07.02.2017,1053,5.00,3.00,15.00,430,1290
V.Mittapalli ,,01/01/17,1002,5.00,1.00,5.00,430,430
Thimmapuram,,01/01/17,523,5.00,1.00,5.00,430,430
Ragimanumitta ,,01/01/17,480,5.00,3.00,15.00,430,1290
Vanaguttapalli,,01/01/17,480,5.00,2.00,10.00,430,860
Peddintikotalu and mulugappa kotalu,,01/01/17,300,5.00,2.00,10.00,430,860
Vasanadu ,,02.01.2017,738,5,1,5.00,430,430
Chinna Vasanadu,,02.01.2017,192,5,1,5.00,430,430
Naniyala Thanda,,01/01/17,298, 5.00 , 2.00 ,10.00,430,860
Jogiindlu,,01/01/17,66, 5.00 , 1.00 ,5.00,430,430
Vardhikuppam,,01/01/17,212, 5.00 , 2.00 ,10.00,430,860
Baipareddypalli,,01/01/17,558, 5.00 , 2.00 ,10.00,430,860
Lakshminagar Yanadhi olony (A. Gutta),,01/01/17,85, 5.00 , 1.00 ,5.00,430,430
BALLA ZPHS School,,10/02/17,150, 5.00 , 1.00 ,5.00,430,430
Giddapalli,,01/01/17,349, 5.00 , 2.00 ,10.00,430,860
Kadamanivanka,,01/01/17,120, 5.00 , 1.00 ,5.00,430,430
Lingapuram,,01/01/17,420, 5.00 , 3.00 ,15.00,430,1290
Nernelli,,01/01/17,271, 5.00 , 2.00 ,10.00,430,860
YADDALAGATTU  ,,01/01/17,126, 5.00 , 1.00 ,5.00,430,430
Peruru,,01/01/17,74, 5.00 , 1.00 ,5.00,430,430
Pamanaboyanapalli,,01/01/17,164, 5.00 , 1.00 ,5.00,430,430
Kanchidasanapalli,,01.03.2017,154, 5.00 , 2.00 ,10.00,430,860
Boyanapalli,,01.03.2017,81, 5.00 , 1.00 ,5.00,430,430
Gorivimakulapalli ZPHS,,01/01/17,125, 5.00 , 1.00 ,5.00,430,430
Gandhinagar,,01/01/17,543, 5.00 , 4.00 ,20.00,430,1720
Bhumandalapuram,,01.03.2017,314, 5.00 , 1.00 ,5.00,430,430
KENCHANABALLA,,01.03.2017,1410, 5.00 , 2.00 ,10.00,430,860
Chintakuppam & MPP School,,01/01/17,260, 5.00 , 3.50 ,17.50,430,1505
Manendram,,01.03.2017,602, 5.00 , 2.00 ,10.00,430,860
 KRISHNARAJAPURAM,,01.03.2017,248, 5.00 , 2.00 ,10.00,430,860
Harijanakota,,01/01/17,96, 5.00 , 1.00 ,5.00,430,430
KEMPASAMUDRAM  & MPP School,,01/01/17,151, 5.00 , 2.50 ,12.50,430,1075
