name,code,date,population,Capacity,Trips,Quantity
Kullayappa kottalu, 1014266048032100,01/01/16,148,5.00,1,5.00
Gevigutta chenu, 1014266046042400,01/01/16,155,5.00,1,5.00
Sapanikunta, 1014266048032100,01/01/16,102,5.00,1,5.00
M.K nuru st colony, Munaswamy kottalu and nerlakottalu, 1014266058022900,01/01/16,560,5.00,1,5.00
Uppakottalu and Muddulappa kottalu, 1014266062022900,01/01/16,256,5.00,2,10.00
Bayanuru, 1014266004010200,01/01/16,392,5.00,1,5.00
Durgasamudram amd Parthichenu, 1014266004010200,19/03/16,461,5.00,2,10.00
Nadimurukottalu and H.Kottalu, 1014266004010200,19/03/16,457,5.00,2,10.00
Chinna Obba ZPHS School and T.Sadumuru, 1014266004010200,19/03/16,489,5.00,2,10.00
Bodeppakottalu and Veeraswamy kottalu, 1014266004010200,24/03/16,546,5.00,2,10.00
Mangammavuru and Kokkanuru, 1014266004010200,20/03/16,179,5.00,2,10.00
Adivikottalu and Peddannakottalu, 1014266004010200,24/03/16,419,5.00,2,10.00
Peddagopanapalli Village and School, 1014266004010200,28/03/16,625,5.00,3,15.00
Vepuru  And  Thimmapuram, 1014266004010200,28/03/16,523,5.00,2,10.00
Rallachenu and N.G.chenu,,02/04/16,693,5.00,2,10.00
Moturu,,02/04/16,124,5.00,2,10.00
Siddappanuru,,02/04/16,441,5.00,2,10.00
Zitarimadugu,,04/04/16,164,5.00,2,10.00
Kothuru,,04/04/16,103,5.00,1,5.00
N.Kothapalli,,11/04/16,654,5.00,1,5.00
Sajjalapalli,,11/04/16,412,5.00,1,5.00
Paipalyam B C Colony,,11/04/16,571,5.00,2,10.00
Gariga chinnepalli ZPH school,,10/04/16,195,5.00,1,5.00
Gattu And balayya kottalu,,11/04/16,352,5.00,2,10.00
Sampangi nagar and Near Goutham school,,04/04/16,550,5.00,4,20.00
Bairuganipalli and S c Colony,,04/04/16,380,5.00,3,15.00
Vinayaka veedhi and Cheelepalli road,,04/04/16,750,5.00,6,30.00
H.P  Road and Near Sai baba gudi,,04/04/16,150,5.00,1,5.00
Athuru,,10/04/16,416,5.00,3,15.00
Noolukunta B C Colony,,20/04/16,500,5.00,2,10.00
V.Mittapalli,,15/04/16,1002,5.00,2,10.00
Katanuru Kottalu,,01/05/16,152,5.00,1,5.00
Chinnanna kottalu,,01/05/16,165,5.00,1,5.00
Kunjeganuru,,01/05/16,455,5.00,2,10.00
Kothapalli,,23/04/16,52,5.00, 0.50 ,2.50
Krishnapuram Dinne,,23/04/16,18,5.00, 0.25 ,1.25
Giddapalli,,11/04/16,349,5.00, 1.00 ,5.00
Nernelli,,11/04/16,271,5.00, 2.00 ,10.00
Lingapuram,,11/04/16,420,5.00, 2.00 ,10.00
Yanadi colony,,01.03.2016,40,5.00, 0.25 ,1.25
Podichenu,,01/04/16,240,5.00, 2.00 ,10.00
Kullaganuru,,15/04/16,410,5.00, 2.00 ,10.00
APSWR (BOYS) Model School,,01.03.2016,100,5.00, 0.50 ,2.50
Battuvaripalli,,20/04/16,116,5.00, 1.00 ,5.00
Jampuru,,20/04/16,73,5.00, 1.00 ,5.00
Krishnapuram, 1014264020010600,25/1/2016,480,5.00,3,15.00
Kareganuru, 1014264030030600,01/01/16,217,5.00,2,10.00
Peddabommanapalli, 1014264030060600,01/01/16,692,5.00,4,20.00
Nakkanapalli, 1014264010010600,15.04.2016,356,5.00,2,10.00
Chinthakampalli, 1014264010010600,01/01/16,262,5.00,2,10.00
Kuthadegani palli, 1014264010010500,15/02/16,160,5.00,2,10.00
Bellakogila S c Colony, 1014264018010800,27/1/2016,180,5.00,4,20.00
Regadadinnepalli, 1014264005010200,01/01/16,469,5.00,2,10.00
Nallapareddivuru, 1014264004010200,01/01/16,682,5.00,2,10.00
Thumsi, 1014264040011600,01/01/16,502,5.00,5,25.00
Model school, 1014264040011600,01/01/16,356,5.00,2,10.00
Sonneganipalle, 1014264040011600,01/01/16,356,5.00,2,10.00
Kondapalli, 1014264040011600,01/01/16,186,5.00,2,10.00
Pedduru,,01.01.2016,386,5.00,3,15.00
Bendanakuppam,,01.03.2016,236,5.00,1,5.00
Ponnepalli,,01.03.2016,311,5.00,2,10.00
Kasthuriba School,,01.03.2016,480,5.00,3,15.00
Kenamakulapalli,,20.04.2016,920,5.00,4,20.00
Sogadaballa,,08.04.2016,641,5.00,2,10.00
Chillimanupalli,,24.04.2016,110,5.00,1,5.00
Oddumadi,,13.03.2016,180,5.00,1,5.00
Jalliganipalli,,3.05.2016,240,5.00,1,5.00
APSWRSC,,01/01/16,600,5.00, 2.00 ,10.00
Muthukuru,,01.05.2015,1850,5.00,1,5.00
Nernipalle, 1014266048032100,16/04/16,1036,5.00,6,30.00
Devarajapuram, 1014266048032100,22/04/16,227,5.00,2,10.00
C.Ellagaram,,27/04/16,1426,5.00,4,20.00
K.C.Palle,1014336015011800,11.01.2016,847,5,6.0,30.0
Gosuvaripalle,1014336012031500,01.03.2016,316,5,2.5,12.5
Gundevaripalle,1014336005090700,25.03.2016,141,5,1.0,5.0
Y.kurrappalle,1014336015051800,15.04.2016,161,5,1.0,5.0
pilligundlapalli,104336006050800,20.04.2016,121,5,1.0,5.0
A.Kothuru,1014336006030800,20.04.2016,402,5,2.0,10.0
Dasarlapalli,1014336006030800,20.04.2016,346,5,1.0,5.0
Jogindlu,1014336015061800,20.04.2016,110,5,1.0,5.0
B.Kurappalle,1014336010031200,25.04.2016,461,5,3.5,17.5
chembakuru,1014336006030800,05.05.2016,500,5,3.0,15.0
Budidetivaripalle, 1014739009070800,06.05.2016,342,5,0.5,2.5
Bodinayunipalle, 1014337008100900,12.01.2016,456,5,3.0,15.0
Santhinagar, 1014337008100700,25.04.2016,254,5,1.0,5.0
Siddareddigaripalle, 1014337012061400,12.01.2016,100,5,1.0,5.0
Nayakurallapalle, 1014337012101400,12.01.2016,377,5,1.0,5.0
