name,code,population,Type,No,Mode,Date,Quantity
K.P.mitta,,962,Borewell,2,At spot,01/01/2016,10.00
j.B.Kotturu,,146,Borewell,2,Extension of pipeline,01/01/2016,10.00
Kaliganuru,,192,Borewell,1,Extension of pipeline,03/05/2016,5.00
Kadiriobanapalli,,128,Borewell,1,Extension of pipeline,05/05/2016,5.00
Karimutla,,142,Borewell,1,At spot,24/04/2016,5.00
Narayanapuram,,102,Borewell,1,At spot,15/03/2016,5.00
Govindapalli,,364,Borewell,1,At spot,14/04/2016,5.00
Gorivimakulapalli,,609,Borewell,1,At spot,14/04/2016,5.00
Desinayanapalli,,408,Borewell,1,At spot,14/04/2016,5.00
KUPPIGARIPALLE  ,,287,Borewell,1,At spot,01/04/2016,5.00
REDDIVANIPODU,,188,Borewell,1,At spot,01/04/2016,5.00
Muddanapalli,,1046,Borewell,1,Connected to OHSR,01/04/2016,5.00
Marapalle,,285,BW,1,Extension of pipeline,01.05.2015,5.00
Peddabharinepalle,,578,BW,1,Extension of pipeline,20/04/2016,10.00
Ramaiahgutta,1014338003050500,43,Borewell,1,At spot,08.01.2016,5.00
Chinnagornikunta,1014338012061600,115,Borewell,1,At spot,08.01.2016,5.00
Rachavaripalli,1014338003170300,133,Borewell,1,At spot,08.01.2016,5.00
Peddayellakuntla,1014338005010800,257,Borewell,1,At spot,02.02.2016,5.00
Karanamvaripalle, 1014338002060200,187,Borewell,1,At spot,07.05.2016,5.00
Peddayellakuntla HW,1014338005010800,122,Borewell,1,At spot,05.02.2016,5.00
Thamarakulakunta,1014338007101010,50,Borewell,1,At spot,08.01.2016,5.00
Toppireddipalle,1014338007091000,20,Borewell,1,At spot,03.03.2016,5.00
Kunchanapalle, 1014338014041800,167,Borewell,1,At spot,03.05.2016,5.00
mudireddypalle,1014338007081000,40,Borewell,1,At spot,03.03.2016,5.00
bandameedapalle,1014338015061900,40,Borewell,1,At spot,03.03.2016,5.00
Krishnapuram,1014337009021100,125,Borewell,1,At spot,08.01.2016,5.00
Kammavaripalle ,1014337003110400,115,Borewell,1,At spot,29.01.2016,5.00
Irlavani indlu,1014337003170400,100,Borewell,1,At spot,15.03.2016,5.00
Dharmavarampalle,1014337018042100,267,Borewell,1,At spot,08.01.2016,5.00
D K Palle,1014337003100400,44,Borewell,1,At spot,05.02.2016,5.00
Nelakurivaripalle,1014739008100700,56,Borewell,1,At spot,18.04.2016,5.00
Ragimanugadda,1014336005020700,75,Borewell,1,At spot,01.03.2016,5.00
Singamvaripalle, 1014336013071600,358,Borewell,1,At spot,22.03.2016,5.00
Konduru,1014336013091600,285,Borewell,1,At spot,05.04.2016,5.00
ERRASANIPALLI, 1014501006190900,176,Borewell,1,At spot,15.04.2016,5.00
PEDDABUTTAIAHGARIPALLI, 1014501006040700,37,Borewell,1,At spot,01.05.2016,5.00
NAKKLAVARIKOTA, 1014501006120800,140,Borewell,1,At spot,01.05.2016,5.00
Salevandlapalle,,120,Borewell,1,At spot,19.04.2016,5.00
