C. Bandameedapalli; 1217111018021500;04/11/2016;1370;5000;3;15;
sodanapalli; 1217111016011300;21-12-2016;1280;5000;4;20;
P. Matlagondi; 1217111015011200;25-12-2016;1329;5000;2;15;
Singanamala Main Village;###;11/02/2017;1020;5000;5;25;
Singanamala BC. Colony;###;15/02/2017;940;5000;4;20;
Sodanapalli bc colony;;23/02/2017;783;5000;4;20;
Danduvaripalli; 1217126013011600;20/02/2017;1049;5000;5;25;
Pasaluru; 1217226014031800;20/02/2017;1113;5000;5;25;
B. Kothapalli; 1217226014031800;20/02/2017;426;5000;2;10;
Govindampalli;;01/03/2017;;5000;2;10;
Siddarmpuram;;01/03/2017;;5000;5;25;
Bandlapalli  (BC & SC Colony); 1217127010011400;26.10.2016;2560;5000;5;25;
Durgam;1217127009011300;05/04/2016;730;5000;6;30;
Gaddam Nage palli;1217127002020400;31-01-2016;1297;5000;8;40;
Kesepalli; 1217127003030600;26.10.2016;1002;5000;3;35;
Kesepalli  (BC & SC Colony); 1217127003030600;26.10.2016;1002;5000;5;15;
PULUSUNUTHALA; 1217127004030700;15-08-2016;971;5000;7;35;
Neluvurai; 1217127003020500;03/12/2016;371;5000;3;15;
Arakata Vemula; 1217328002010200;05-04-2016;1269;5000;5;25;
Balapuram;1217328005030600 ;01-01-2016;561;5000;13;65;
C.Venganapalli Main;1217111014011100;01-01-2016;987;5000;6;30;
Goparajupalli;1217328007041100 ;01-01-2016;987;5000;4;20;
Cherlopalli; 1217328009011300;05.04.2016;762;5000;6;30;
Kadavakallu - Main;1217328010011500 ;01-01-2016;762;5000;10;50;
Komatikuntla - SC & BC ; 1217328008011200;15/03/2016;670;5000;2;10;
Kondapuram; 1217328002020300;01.11.2016;670;5000;5;25;
Kondugarikunta; 1217328014042000;01-01-2016;1486;5000;5;25;
Nagireddipalli;1217328050050600;08/01/2016;742;5000;5;25;
Gollapalli;1217328001020100;01/01/2016;2982;5000;7;35;
Rangam nayunipalli;1217328014052100;25.04.2016;2982;5000;7;35;
Dosaledu;1217328011011600;01.10.2016;1929;5000;12;60;
Garuguchinthalapalli;1217328017232400;01/01/2017;1929;5000;13;65;
Nittor;1217329003010300;01/05/2016;852;5000;8;40;
Chilamakuru; 1217329011021000;01/03/2016;470;5000;5;25;
Bukkapuram; 1217329011021000;10/01/2016;1320;5000;12;60;
Chilamakuru; 1217329010011000;24/03/2016;644;5000;5;25;
Chintakayamanda; 1217329017021700;01/01/2016;2367;5000;7;35;
Goddumarri;1217329018011800;01/05/2016;1663;5000;4;20;
Kuchivaripalli; 1217329012031200;01/03/2016;1379;5000;4;20;
Neerajampalli;1217329018021900 ;01/01/2016;163;5000;1;5;
Pathapalli; 1217329008010800;01/01/2016;937;5000;6;30;
Pedda Mallepalli;1217329004010400;01/05/2016;723;5000;6;30;
S.Thirumalapuram; 1217329005010500;01/01/2016;790;5000;6;30;
Yellanur;1217329006010600;01/01/2016;5947;5000;17;85;
Medikurthy; 1217329018011800;16/11/2016;586;5000;4;20;
Vasapuram;1217329006010600;01/01/2017;725;5000;4;20;
Venkatam Palii;;;850;5000;6;30;
Chinthakayamanda;;;700;5000;3;15;
Chinnakunta;;1.4.2016;887;5000;2;10;
Prabhakar Chowdary Colony;;15.11.2016;150;5000;2;10;
Cheyedu;;1.4.2016;2676;5000;20;100;
Pulakunta;1217225020022500;01.04.2016;2339;5000;17;85;
M.B.Palli;;16.10.2016;364;5000;3;15;
Mamillapalli;1216633009011500;10.05.2015;1551;5000;11;25;
Chandracherla; 1216633010021700;04.04.2016;1472;5000;9;45;
kurlapalli thanda ;;;;5000;3;15;
Tallimadugula;;;;5000;4;20;
vepakunta ;;;;5000;3;15;
Daduluru;;;864;;5;;
C.K.Palli;1216636003010300;14.02.2016;5130;5000;13;25;
Yerraginnanagaripalli;624;03.10.2016;624;5000;3;20;
Pylaboyilapalli; 1216636007040800;19.03.2016;572;5000;4;10;
Ganginepalli ; 1216636002010200;19.03.2016;4198;5000;5;40;
Basinepalli; 1216636004020500;21.03.2016;990;5000;4;15;
Bramhanapalli; 1216636011011400;21.03.2016;247;5000;2;10;
Pallenagaripalli; 1216636004050400;26.04.2016;405;5000;4;10;
