Mandal;Habitation_name;Habitation_code;Date;Population;Capacity;Trips;Quantity
Singanamala;C.Bandameedapalli;123900501;04/11/2016;1370;5000;3;15
Singanamala;sodanapalli;123900501;31/12/9999;1280;5000;4;20
Singanamala;P.Matlagondi;123900501;31/12/9999;1329;5000;2;15
Singanamala;Singanamala Main Village;123900501;11/02/2017;1020;5000;5;25
Singanamala;Singanamala BC.Colony;123900507;15/02/2017;940;5000;4;20
Singanamala;Sodanapalli bc colony;123900509;23/02/2017;783;5000;4;20
BK.Samudram;Danduvaripalli;123900604;20/02/2017;1049;5000;5;25
BK.Samudram;Pasaluru;123900604;20/02/2017;1113;5000;5;25
BK.Samudram;B.Kothapalli;123900604;20/02/2017;426;5000;2;10
BK.Samudram;Govindampalli;123900703;01/03/2017;;5000;2;10
BK.Samudram;Siddarmpuram;123900705;01/03/2017;;5000;5;25
Narpala;Bandlapalli(BC & SC Colony);123900710;26.10.2016;2560;5000;5;25
Narpala;Durgam;123900905;05/04/2016;730;5000;6;30
Narpala;Gaddam Nage palli;123901001;31/12/9999;1297;5000;8;40
Narpala;Kesepalli;123901004;26.10.2016;1002;5000;3;35
Narpala;Kesepalli(BC & SC Colony);123901005;26.10.2016;1002;5000;5;15
Narpala;PULUSUNUTHALA;123901007;31/12/9999;971;5000;7;35
Narpala;Neluvurai;123901010;03/12/2016;371;5000;3;15
Putlur;Arakata Vemula;123901101;31/12/9999;1269;5000;5;25
Putlur;Balapuram;123901104;20/10/4670;561;5000;13;65
Putlur;C.Venganapalli Main;123901107;20/10/4670;987;5000;6;30
Putlur;Goparajupalli;123901111;20/10/4670;987;5000;4;20
Putlur;Cherlopalli;123901115;05.04.2016;762;5000;6;30
Putlur;Kadavakallu Main;124000807;20/10/4670;762;5000;10;50
Putlur;Komatikuntla SC & BC;124100326;15/03/2016;670;5000;2;10
Putlur;Kondapuram;124100517;01.11.2016;670;5000;5;25
Putlur;Kondugarikunta;124100901;20/10/4670;1486;5000;5;25
Putlur;Nagireddipalli;124101003;08/01/2016;742;5000;5;25
Putlur;Gollapalli;124101305;01/01/2016;2982;5000;7;35
Putlur;Rangam nayunipalli;124200601;25.04.2016;2982;5000;7;35
Putlur;Dosaledu;124200805;01.10.2016;1929;5000;12;60
Putlur;Garuguchinthalapalli;124200805;01/01/2017;1929;5000;13;65
Yellanur;85 Nittor;124500204;01/05/2016;852;5000;8;40
Yellanur;Chilamakuru;124500207;01/03/2016;470;5000;5;25
Yellanur;Bukkapuram;124500301;10/01/2016;1320;5000;12;60
Yellanur;Chilamakuru;124500305;24/03/2016;644;5000;5;25
Yellanur;Chintakayamanda;124500501;01/01/2016;2367;5000;7;35
Yellanur;Goddumarri;124500502;01/05/2016;1663;5000;4;20
Yellanur;Kuchivaripalli;124500511;01/03/2016;1379;5000;4;20
Yellanur;Neerajampalli;124500514;01/01/2016;163;5000;1;5
Yellanur;Pathapalli;124500604;01/01/2016;937;5000;6;30
Yellanur;Pedda Mallepalli;124500605;01/05/2016;723;5000;6;30
Yellanur;S.Thirumalapuram;124500707;01/01/2016;790;5000;6;30
Yellanur;Yellanur;124501101;01/01/2016;5947;5000;17;85
Yellanur;Medikurthy;124501303;16/11/2016;586;5000;4;20
Yellanur;Vasapuram;124600109;01/01/2017;725;5000;4;20
Yellanur;Venkatam Palii;124600304;;850;5000;6;30
Yellanur;Chinthakayamanda;124600315;;700;5000;3;15
Anantapur(rural);Chinnakunta;124600403;1.4.2016;887;5000;2;10
Anantapur(rural);Prabhakar Chowdary Colony;124600404;15.11.2016;150;5000;2;10
Anantapur(rural);Cheyedu;124600406;1.4.2016;2676;5000;20;100
Anantapur(rural);Pulakunta;124600407;01.04.2016;2339;5000;17;85
Rapthadu;M.B.Palli;124600413;16.10.2016;364;5000;3;15
Kanaganapalli;Mamillapalli;124600503;10.05.2015;1551;5000;11;25
Kanaganapalli;Chandracherla;124600504;04.04.2016;1472;5000;9;45
Kanaganapalli;kurlapalli thanda;124600706;;;5000;3;15
Kanaganapalli;Tallimadugula;124601002;;;5000;4;20
Kanaganapalli;vepakunta;124601003;;;5000;3;15
Kanaganapalli;Daduluru;124601004;;864;;5;
C.K.Palli;C.K.Palli;124601205;14.02.2016;5130;5000;13;25
C.K.Palli;Yerraginnanagaripalli;124601206;03.10.2016;624;5000;3;20
C.K.Palli;Pylaboyilapalli;124700501;19.03.2016;572;5000;4;10
C.K.Palli;Ganginepalli;124700501;19.03.2016;4198;5000;5;40
C.K.Palli;Basinepalli;124700501;21.03.2016;990;5000;4;15
C.K.Palli;Bramhanapalli;124700501;21.03.2016;247;5000;2;10
C.K.Palli;Pallenagaripalli;124700501;26.04.2016;405;5000;4;10
C.K.Palli;Obulampalli;124700506;03.10.2016;336;5000;2;10
C.K.Palli;Venkatampalli;124700512;;1854;;4;
Vajrakarur;Konakondla;124700904;01.02.2016;9609;5000;13;65
Kuderu;Antharaganga;12161430010901;01.04.2016;927;5000;5;25
Guntakal;N.Venkatampalli;12161430011401;;425;5000;4;30
Guntakal;Pulugutta palli;12161430050404;;1165;5000;7;
Guntakal;Mallenipalli;12161430050604;;468;;3;
Guntakal;Nelagonda;12161430051606;;2028;;5;
Guntakal;Imampuram;12161430051706;;1017;;4;
Guntakal;N Kottala;12161430060107;;682;;4;
Gooty;Jakkalacheruvu RS;12161430081209;;975;5000;5;25
Gooty;Gondipalli;12161430130312;;873;5000;4;20
Dharmavaram;Malagundlapalli;121635500506400;08.04.2016;614;5000;5;25
Dharmavaram;Darsimala;1216138002020200;01.05.2016;1324;5000;8;40
Dharmavaram;Nelakota Thanda;1216138007010600;25.05.2016;914;5000;7;35
Dharmavaram;Balijamadi thanda, East Thanda and S.C Colony in  Nadimigaddapalli and Mani Village;1216138010010900;01.12.2016;1188;5000;8;40
Dharmavaram;VENKATA THIMMAPURAM;1216138010030900;06.11.2016;829;5000;6;30
Dharmavaram;Badannapalli Vaddegodeselu;1216138011030900;16.11.2016;465;5000;5;25
Dharmavaram;Ravula Cheruvu Thanda;1216138011040900;17.11.2016;370;5000;3;15
Dharmavaram;KamereddyPalli;1216138012011100;11.11.2016;785;5000;4;20
Bathalapalli;Sangala;1216138012011100;04.11.2016;736;5000;5;25
Bathalapalli;Pathyapuram;1216138012031100;01.04.2016;552;5000;4;20
Bathalapalli;Jalalpuram;1216138014031200;10.11.2016;548;5000;4;20
Bathalapalli;Raghavampalli;1216138014041200;15.02.2017;759;5000;4;20
Bathalapalli;Muddanapalli;1216138014041200;17.02.2017;973;5000;7;35
Bathalapalli;D.Cherlopalli;1216138014071200;06.02.2017;869;5000;12;60
Bathalapalli;Garisalapalli;1216138014071200;17.2.2017;;;5;25
Gummagata;Rangachedu ( Chowluru);1216138015031300;30.08.2016;2420;5000;5;25
Gummagata;Kalugodu;1216138015031300;11.02.2017;2910;5000;3;15
Gummagata;Adiguppa;1216138015041400;20.02.2017;411;500;3;15
Mudigubba;SC colony,1st street & 2nd street,Railway gate;1216138015041400;15.11.2016;340;5000;4;20
Mudigubba;Chinthalanaidu street, Radamma hotel,front of police station;1216138015041400;15.11.2016;950;5000;4;20
Mudigubba;Bramhanadevamarri;1216138015041400;01.12.2016;629;5000;4;20
Mudigubba;VALLEMCHERLO PALLE;1216138015041400;15.11.2016;792;5000;4;20
Mudigubba;High School, Boys & Girls and  old town(mudigubba);1216138015041400;15.11.2016;758;5000;4;20
Mudigubba;Masid backside(mudigubba);1216138015041400;15.11.2016;850;5000;4;20
Mudigubba;Mudigubba  town, dorigallarord (mudigubba);1216138015041400;1.11.2016;459;5000;4;20
Mudigubba;Mudigubba old town, Zphs School(mudigubba);1216138015041400;1.11.2016;369;5000;4;20
Mudigubba;Ramaswamynaik thanda;1216138015041400;1.11.2016;673;5000;4;20
Mudigubba;Sankepalli;1216138015041400;1.11.2016;1262;5000;4;20
Mudigubba;Gunjepalli;1216138015041400;1.11.2016;960;5000;4;20
Mudigubba;Mangalala colony,(mudigubba);1216138015041400;1.11.2016;680;5000;4;20
Mudigubba;Budanempalli;1216138015041400;1.11.2016;453;5000;4;20
Mudigubba;Mukthapuram,Mukthapuram Thanda & Nallaikuntapalli;1216138015041400;1.11.2016;2216;5000;13;65
Mudigubba;Andhra Bank Back Side;1216138015041400;1.11.2016;786;5000;4;20
Mudigubba;Petrol bank back side 1,2,13rd ward;1216138015041400;1.11.2016;458;500;4;20
Mudigubba;Podharallapalli, Pujarinaik thanda;1216138015041400;1.11.2016;1528;5000;4;20
Mudigubba;Kotireddipalli;1216138015041400;1.11.2016;654;5000;4;20
Mudigubba;Maddannagaripalli;1216138015041400;10.12.2016;689;5000;4;20
Mudigubba;jkpalli, Rallanantapuram cross,Ralla AnantapuramThanda;1216138024032000;12/01/2016;758;5000;8;40
Mudigubba;Guddam palli thanda;1216138024042000;01.09.2016;988;5000;4;20
Mudigubba;Edulapalli;1216138024062000;28.01.2017;958;5000;4;20
Mudigubba;Akuthotapalli & Ahuthotapalli thanda;1216138024082000;03.03.2017;950;5000;4;20
Mudigubba;Dighuvapalli,Mallipalli SC Colony and School;1216355005070400;03.03.2017;1050;5000;4;20
D.Hirehal;Thimmalapuram;1216455018131000;17.10.2016;627;5000;5;25
D.Hirehal;Mallikethi;1216456009011100;12.12.2016;1685;5000;5;25
Tadimarri;Ekkapadampalli;1216559015021600;02.02.2017;980;5000;5;25
Tadimarri;Chillavaripalli;1216562008010700;01.03.2017;1417;5000;10;50
Tadimarri;Marrimakulapalli;1216562008010700;22.02.2017;1815;5000;8;40
ROLLA;Hanumantanahalli;1216563001020100;1.11.2016;237;5000;1;5
ROLLA;Kodagarlagutta;1216563001030100;1.11.2016;313;5000;2;10
ROLLA;M.R Gollahatti;1216563001050100;7.1.2017;487;5000;2;10
ROLLA;somagatta gate;1216563002100200;7.01.2017;137;5000;1;5
ROLLA;H.T Halli;1216563003020300;4.01.2017;1319;5000;4;20
ROLLA;Bandrepalli;1216563003020300;11.2.2017;462;5000;1;5
N.P.KUNTA;Velichelamala H.W;1216563003060300;18.11.2016;1208;5000;3;15
Amarapuram;HBN Colony;1216563003140300;4.02.2016;480;5000;2;10
Amarapuram;Thammadepalli;1216563003150300;19.02.2017;1821;5000;6;30
Amarapuram;Bullanahalli;1216563003190300;19.02.2017;169;5000;1;5
Gudibanda;k k palyam;1216563005040400;4.02.2016;969;5000;4;20
Gudibanda;Maddanakunta;1216563005050400;19.02.2017;784;5000;2;10
B.K.Samudramu;Pasaluru;1216563005060400;01.04.16;1113;5000;5;25
B.K.Samudramu;P.Kothapalli;1216563005060400;01.04.16;426;5000;2;10
B.K.Samudramu;Badrampalli;1216633001030100;01.04.16;568;5000;3;15
B.K.Samudramu;Danduvaripalli;1216633003010500;01.04.16;1049;5000;5;25
Singanamala;Singnamala BC Colony;1216633006021000;05.04.16;871;5000;5;25
Singanamala;P.Matlagondi;1216633006021000;13.04.16;1363;5000;6;30
Singanamala;Akuledu;1216633007021200;14.04.16;2078;5000;6;30
Singanamala;Nagulaguddam tanda;1216633008041400;20.30.16;952;5000;4;20
Singanamala;Lolur  Pamulolla Colony;1216633009011500;18.4.16;275;5000;3;15
Narpala;Gaddam Nagepalli;1216633009011500;1.2.16;1926;5000;4;20
Narpala;Durgam;1216633009011500;05.04.16;866;5000;7;35
Narpala;Jangam Reddy palli;1216633010011700;19.04.16;274;5000;4;20
Putlur;Arakata Vemula;1216633010021700;05.04.16;1269;5000;5;25
Putlur;Balapuram;1216633010041700;01.01.2016;561;5000;6;30
Putlur;C.Venganapalli Main Village;1216635004010300;01.01.2016;762;5000;5;25
;C.Venganapalli SC Colony;1216636003010300;01.01.2016;762;5000;1;5
Putlur;Cherlopalli;1216636003010300;01.04.2016;1486;5000;5;25
Putlur;Gollapalli;1216636004020500;01.01.2016;500;5000;5;25
Putlur;Goparajupalli;1216636004050400;01.01.2016;670;5000;4;20
;Goparajupalli;1216636007030900;01.01.2016;670;5000;2;10
Putlur;Kadavakallu;1216636007050900;01.01.2016;2982;5000;6;30
Putlur;Komatikuntla  SC & BC Colony;1216636008041100;15.03.2016;1929;5000;7;35
;Komatikuntla Main Village;1216636008051200;15.03.2016;1929;5000;7;35
Putlur;Kondugarikunta;1216636008061200;01.01.2016;462;5000;4;20
Putlur;Kothapalli;1216636011011400;01.01.2016;47;3000;1;3
Putlur;Nagireddipalli;1216801003010200;01.01.2016;462;5000;4;20
Putlur;P.Chintalapalli;1216801004010300;01.04.2016;987;5000;8;40
Putlur;Putlur  SC & BC Colony;1216801011030700;01.03.2016;3741;5000;13;65
Putlur;Surepalli;1216801012020800;01.03.2016;1108;5000;5;25
Putlur;Thurakavaripalli;1216819002060400;01.04.2016;118;5000;1;5
Yellanur;Boppepalli;1216819007011000;01.01.2016;630;5000;5;25
Yellanur;Thimmampalli;1216819008021100;01.01.2016;2367;5000;9;45
Yellanur;G.Lakshmampalli;1216903007020700;01.01.2016;163;5000;2;10
Yellanur;Pathapalli;1216903007020700;01.01.2016;937;5000;6;30
Yellanur;S.Thirumalapuram;1216903007020700;01.01.2016;790;5000;8;40
Yellanur;Yellanur;1216903007020700;01.01.2016;5947;5000;19;95
Yellanur;Bukkapuram;1216904016011800;01.03.2016;1320;5000;5;25
Yellanur;Kodumurthy;1216904016011800;24.03.2016;644;5000;6;30
Yellanur;Kuchivaripalli;1217007012011500;01.03.2016;1379;5000;5;25
Yellanur;Achuthapuramu;1217111010021000;01.03.2016;470;5000;6;30
Anantapur(rural);Chiyyedu;1217111013031100;01.03.2012;2676;5000;16;80
Anantapur(rural);Itikalapalle;1217111018041500;16.12.2013;1960;5000;11;55
Anantapur(rural);Pulakunta;1217111019011600;21.02.2015;2339;5000;11;45
Anantapur(rural);M.B.Palli;1217111019011600;05.05.2016;394;5000;2;10
Anantapur(rural);Chinnakunta;1217111022011800;05.05.2016;887;5000;2;10
Anantapur(rural);Akuthotapalli;1217113010010900;05.05.2016;3983;5000;5;25
Kanaganapalli;Mamillapalli;1217127002020400;10.05.2015;1551;5000;5;25
Kanaganapalli;Chandracherla;1217127009011300;04.04.2016;1472;5000;9;45
Kanaganapalli;Nemalivaram;1217225004020500;1.05.2016;650;5000;2;10
Kanaganapalli;Kurlapalli Thanda;1217225005020700;1.05.2016;534;5000;3;15
C.K.Palli;C.K.Palli;1217225010021100;14.02.2016;5130;5000;8;25
C.K.Palli;Pylaboilapalli;1217225010031200;19.03.2016;572;5000;2;10
C.K.Palli;Nyamaddala;1217225012011400;19.03.2016;4198;5000;13;40
C.K.Palli;Basinepalli;1217225012021500;21.03.2016;990;5000;3;15
C.K.Palli;Brahmanapalli;1217225013010300;21.03.2016;247;5000;2;10
C.K.Palli;Pallenagaripalli;1217225016012000;26.04.2016;405;5000;2;10
Peddapappuru;Narapuram;1217225016012000;20.02.2016;562;5000;2;10
Peddapappuru;c.chikkepalli;1217225016022000;24.04.2013;1071;5000;4;20
Peddavaduguru;Bandarlapalli;1217225020012400;01.04.2016;759;5000;5;25
Yadiki;Yadiki;1217225020012400;09.04.2016;22500;5000;4;20
Tadipatri;Venkatareddypalli;1217225020022500;01.05.2016;1947;5000;3;15
;;1217225020022500;;;;3;15
Vajrakarur;Konakondla;1217225020022500;01.02.2016;9609;5000;13;65
Vajrakarur;J.Rampuram;1217232001020100;01.02.2016;696;5000;6;30
Kuderu;Antharaganga;1217232001040200;01.04.2016;927;5000;5;25
Vidapanakal;R.Kottala;1217232001040200;21.04.2016;884;5000;4;20
GTKL;Eswarapalli;1217232001040200;14.04.2016;480;5000;3;15
GTKL;Nelagonda;1217232002010100;04/09/2015;2028;5000;8;40
GTKL;N.Venkatampalli;1217232009011200;16.11.2015;385;5000;4;20
GTKL;Pulugutta palli;1217328011011600;06.02.2016;1083;5000;10;50
GTKL;Gundala;1217328014052100;23,02,2016;440;5000;4;20
GTKL;DONIMUKKALA;1217328015012200;08.03.2016;468;5000;4;20
GTKL;Nakkanadoddi;1217328017232400;18.03.2016;672;5000;4;20
GTKL;Kadiripalli;1217328050050600;25/03/2016;839;5000;5;25
GTKL;Imampuram;1217328050050600;01/04/2016;1017;5000;5;25
GTKL;Pulugutta palli;1217328050050600;02/04/2016;276;5000;3;15
GTKL;Gurrabbadu;1217329003010300;15/04/2016;1379;5000;5;25
GTY;Molakalapenta;1217329004010400;27/04/2016;2400;08/09/1913;6;30
DHARMAVARAM;Malagundlapalli;1217329004020400;08.04.2016;614;5000;4;20
DHARMAVARAM;Nagireddy Kunta Kottala Road Side & Ravula Cheruvu Thanda;1217329012011100;28.04.2016;352;5000;3;15
DHARMAVARAM;Darsimala;1217329012011100;01.05.2016;1324;5000;8;40
BATHALAPALLI;Yerraipalli;1217329012021100;04.05.2016;1330;5000;5;25
BATHALAPALLI;Ragavampalli;1217329013011300;01.04.2016;979;5000;3;15
BATHALAPALLI;Jawalapuram;1217329018011800;01.04.2016;640;5000;5;25
BATHALAPALLI;Kodekandla;1217329019022100;03.04.2016;730;5000;5;25
BATHALAPALLI;D.Cherlopalli;1217330001050200;03.04.2016;1558;5000;8;40
BATHALAPALLI;B.C Colony  H/o Mudhanapalli;1217330001050200;03.04.2016;1003;5000;3;15
BATHALAPALLI;Ramanujampalli;1217330012021400;03.04.2016;140;5000;1;5
BATHALAPALLI;Lingareddypalli;1217330012021400;01.04.2016;1021;5000;5;25
BATHALAPALLI;Nallaboyanapalli New S.C Colony;1217331001020200;06.05.2016;567;5000;2;10
MUDIGUBBA;AB Palli and AB Palli H.W;1217331001030200;01.03.2015;1368;5000;7;35
MUDIGUBBA;Guddam palli thanda;1217331003010100;01.03.2015;988;5000;7;35
MUDIGUBBA;First Ward( back side petrol bunk) Mudigubba;1217331003010100;28.03.2016;580;5000;7;35
MUDIGUBBA;SC Colony and NayiBhrmanacolony;1217331004010400;27.03.2016;450;5000;6;30
MUDIGUBBA;Railway Gate Kottala and Vaddivari Quarters;1217331007010600;27.03.2016;540;5000;6;30
MUDIGUBBA;Dorigalliu Road;1217331007040700;05/04/2016;613;5000;4;20
MUDIGUBBA;Nallyakunta palli;1217331008040800;05/04/2016;980;5000;6;30
MUDIGUBBA;Sankepalli & Sankepalli  cross, Kammavaripalli;1217331008040800;18/04/2016;1953;5000;18;90
MUDIGUBBA;Ralla Anantapuram cross & Jk palli cross;1217331009010900;01.05.2016;352;5000;3;15
MUDIGUBBA;Damidi street & 2 nd Ward in Mudigubba Town;1217331009030900;05/04/2016;549;5000;6;30
MUDIGUBBA;Chelimibavi street & 8th ward & 9th ward in Mudigubba Town;1217331010021000;05/06/2016;1216;5000;9;45
MUDIGUBBA;Meachnic Kishore House Back side @ 13 th Ward in Mudigubba Town;1217331011011100;05/06/2016;385;5000;4;20
TADIMARRI;Marrimakulapalli;1217331011011100;04.03.2016;1815;5000;8;40
TADIMARRI;Ekapadampalli;1217331011041200;04.03.2016;980;5000;5;25
TADIMARRI;Guddampalli;1217331011041200;14.04.2016;600;5000;5;25
GUMMAGATTA;Pulakunta (Ayyappa Nagar);1217337002030400;02.04.2016;2693;5000;3;15
D.HIREHAL;D.Hirehal;1217337004040700;25.03.2016;8996;5000;12;60
D.HIREHAL;Obulapuram;1217337006030900;30.03.2016;3541;5000;10;50
ROLLA;Hanumantanahalli;1217337010021500;11.3.2016;681;5000;1;5
ROLLA;Ujjainipuram;1217407011011400;17.3.2016;161;5000;1;5
Lapakshi;Kanchisamudram;1217408002010200;01.04.2016;2248;5000;5;25
Lapakshi;pulamathi;1217408002050200;07.04.2016;400;5000;3;15
Agali;Agali;1217408003010400;11.04.2016;4007;5000;2;10
B.K Samudram;Kondapuram;1217408006040600;23.08.2014;731;5000;6;30
B.K Samudram;Dayyalakuntapalli;1217409001040100;14.10.2014;604;5000;3;15
B.K Samudram;Danduvaripalli;1217409008020700;01.04.2014;1061;5000;5;25
Garladinne;Papinepalyam;1217410009010800;30.12.2014;427;5000;4;20
Narpala;Durgam;1217410011031100;12.10.2014;739;5000;6;30
Narpala;Gunjepalli;1217410014021500;01.03.2015;448;5000;3;45
Singanamala;C.Bandameedapalli;1217410017022000;01.04.2014;1290;5000;5;75
Singanamala;Nagulaguddam thanda;1.21712260140217E+016;12.03.2015;437;5000;4;20
Singanamala;Nagulaguddam;1.21733100110211E+016;01.07.2014;1050;5000;4;20
Singanamala;Pothurajukaluva;  ;01.07.2014;1062;5000;5;25
Singanamala;Nayanavaripalli;1216138002010200;23.04.2014;653;5000;6;30
Singanamala;Sivapuram;1216138003040400;25.01.2015;1125;5000;6;30
Singanamala;Anandaraopeta;1216138011021000;25.04.2014;535;5000;6;30
Singanamala;Akuledu;1216138011021000;01.02.2015;1058;5000;7;35
Putlur;Cherlopalli;1216138011040900;01.09.2014;1486;5000;9;45
Putlur;Chalavemula;1216138012011100;17.02.2015;1247;5000;6;30
Putlur;Nagireddipalli;1216138015011300;01.09.2014;462;5000;4;20
Putlur;Kadavakallu;1216138015031300;01.09.2014;2982;5000;16;15
Putlur;Goparajupalli;1216138017041600;01.09.2014;670;5000;6;20
Putlur;Arakativemula;1216138024032000;01.09.2014;1269;5000;8;40
Putlur;Garuguchinthalapalli;1216138026041900;01.09.2014;1696;5000;18;90
Putlur;Chinthakunta;1216138027021900;01.09.2014;742;5000;6;30
Putlur;Balapuram;1216338017061600;01.09.2014;561;5000;4;20
Putlur;Surepalli;1216633010021700;01.04.2015;1108;5000;3;15
Putlur;Gollapalli;1216633010021700;01.09.2014;500;5000;4;20
Putlur;Rangamanayunipalli;1216636002010200;04.01.2015;650;5000;5;25
Putlur;Kondugarikunta;1216636002010200;01.09.2014;462;5000;4;20
Putlur;Thurakavaripalli;1216636004020500;07.08.2014;118;5000;1;5
Putlur;Takkalapalli;1216636004020500;15.01.2015;784;5000;6;30
Putlur;Kothapalli;1216636004050400;07.08.2014;47;5000;1;5
Putlur;C.Venganapalli;1216636004050400;01.04.2014;762;5000;6;30
Putlur;Putlur;1216636007040800;28.05.2014;2794;5000;5;25
Yellanur;P M Kondapuram;1216636007040800;01.08.2014;463;5000;6;30
Yellanur;Vennapusapalli;1216636011011400;06.04.2015;1789;5000;6;30
Yellanur;Krishnapuram;1216636011011400;01.04.2015;511;5000;1;5
Yellanur;Boppepalli;1216819008011100;01.09.2014;630;5000;5;25
Yellanur;Thimmampalli;1216904001010100;16.08.2014;2367;5000;15;75
Yellanur;Peddamallepalli;1216904001010100;16.08.2014;612;5000;6;30
Yellanur;G.Lakshmampalli;1217005007030700;16.08.2014;163;5000;2;10
Yellanur;Vasapuram;1217005016041600;16.08.2014;837;5000;8;40
Yellanur;Bukkapuram;1217111013031100;16.08.2014;1320;5000;11;55
Yellanur;Nittur;1217111013031100;01.09.2014;711;5000;8;40
Yellanur;Pathapalli;1217111015011200;01.09.2014;937;5000;9;45
Yellanur;S.Thirumalapuram;1217111015011200;21.04.2014;790;5000;8;40
Yellanur;Medikurthy;1217111016011300;17.11.2014;620;5000;5;25
Yellanur;Kuchivaripalli;1217111018021500;01.11.2014;952;4000;8;40
Yellanur;Venkatampalli;1217111018021500;16.08.2014;635;5000;7;35
Yellanur;Achuthapuramu;1217111019011600;01.12.2014;320;5000;5;25
Yellanur;Yellanur;1217111021011700;15.03.2015;5947;5000;10;50
Yellanur;S.Kothapalli;1217126012031400;01.07.2014;546;5000;6;30
Yellanur;Goddumarri;1217126013011600;01.07.2014;1662;5000;7;35
Yellanur;Chinthakayamanda;1217126013011600;01.01.2015;1133;5000;3;15
Anantapur (rural);Chiyyedu;1217127002020400;01.03.2012;2676;5000;16;80
Anantapur (rural);Itikalapalle;1217127003020500;16.12.2013;1960;5000;9;60
Anantapur (rural);Kakkalapalli (Rural);1217127003030600;01.05.2014;2625;5000;10;50
Anantapur (rural);N.N.Kunta;1217127003030600;01.08.2014;1656;5000;6;30
Anantapur (rural);Chinnakunta;1217127004030700;21.02.2015;887;5000;4;20
Anantapur (rural);Pulakunta;1217127005040900;21.02.2015;2339;5000;9;45
Anantapur (rural);Rudrampeta;1217127009011300;02.02.2015;17603;5000;15;75
Anantapur (rural);MB Palli;1217127009011300;02.03.2015;364;5000;3;15
Anantapur (rural); N.R.Colony;1217127010011400;02.03.2015;1568;5000;7;45
Anantapur (rural);Papampeta Dwaraka Vilas;1217225010021100;10.04.2015;925;5000;6;30
Anantapur (rural);Kattakindapalli;1217225016022000;01.03.2015;1369;5000;6;30
Anantapur (rural);Ontikonda;1217225016042100;24032014.00;759;5000;3;20
C.K.Palli;Parsannayapeta;1217226001040300;11.08.2014;490;5000;3;20
C.K.Palli;Amidalakunta ;1217226009031000;12.07.2014;400;5000;1.5;10
C.K.Palli;bramhanapalli;1217226014031800;12.10.2014;247;5000;1.5;10
C.K.Palli;Venkatampalli;1217226014031800;02.11.2014;1854;5000;7;40
C.K.Palli;Narsingarayanipalli;1217226014031800;12.01.2015;592;5000;3;20
C.K.Palli;Basinepalli;1217328001010100;17.02.2015;990;5000;3;20
C.K.Palli;Pallenagaripalli;1217328002010200;15.04.2015;405;5000;2;15
C.K.Palli;Chandracherla;1217328002010200;01.04.2015;1472;5000;5;30
C.K.Palli;Nemalivaram;1217328002020300;01.04.2015;650;5000;2;15
Kanaganapalli;Thalimadugula;1217328005010500;05.04.2015;1187;5000;3;15
Kanaganapalli;Balepalem;1217328005010500;10.04.2015;992;5000;3;15
Kanaganapalli;Daduluru;1217328005050600;01.05.2015;711;5000;5;30
Kanaganapalli;C.N.Kota;1217328008011200;06.05.2015;946;5000;3;20
Kanaganapalli;Maddalacheruvu;1217328008011200;10.05.2015;516;5000;2;10
Kanaganapalli;Mamillapalli;1217328008011200;10.05.2015;512;5000;1;15
Kanaganapalli;M.Bandameedapalli;1217328009011300;01.03.2015;3550;5000;8;40
Kanaganapalli;Gangulakunta;1217328009011300;01.03.2015;995;5000;5;25
Rapthadu;Raminepalli;1217328009011300;01.03.2015;634;5000;4;20
Rapthadu;Prasannayapalli;1217328014022000;01.03.2015;6163;5000;20;10
Rapthadu;Chinmaiahnagar;1217328014022000;01.04.2015;3163;5000;14;70
Rapthadu;Prasannayapalli;1217328014032000;01.04.2015;3000;5000;14;70
Ramagiri;M.C.Palli;1217328014042000;01.04.2015;601;5000;2;10
Guntakal;Gundala;1217328014042000;28.02.2015;442;5000;3;15
Guntakal;Manelanepalli;1217328014042000;25.02.2015;468;5000;3;15
Guntakal;Immampuram; 1217328014052100;28.02.2015;1017;5000;4;20
Guntakal;Molakalapenta thanda;1217329002010200;01.01.2014;718;5000;8;40
Guntakal;Puliguttapalli;1217329003010300;18.02.2015;1083;5000;6;30
Guntakal;Puliguttapalli Pedda Thanda;1217329005010500;22.10.2014;1083;5000;3;15
Tadipatri;Venkatareddypalli;1217329005010500;25.04.2014;1646;5000;2;10
Tadipatri;Thimmepalli;1217329005010500;01.03.2015;799;5000;3;15
Peddapappuru;c.chikkepalli;1217329008010800;24.04.2013;1071;5000;5;25
