Guntur Rural;Ramaraju Nagar of Lingayapalem, H/o Lalpuram Village;0710126011031600;25.05.2015;600;12000;1;12
Pedanandipadu;Jarugulavaripalem;0709946011031500;25.05.2015;687;12000;2;24
Thullur;Pedaparimi;0710310005010500;26.05.2015;6887;4000;2;8
Thullur;Mandadam;0710210020011800;26.05.2015;5820;4000;2;8
Sattenapalli;Ramakrishnapuram;0710415014021700;01.05.2015;1066;4000;2;8
Rajupalem;Balijepalli;0710516007011300;21.05.2015;2022;12000;1;12
Rajupalem;Uppalapadu;0710516008011500;21.05.2015;2379;12000;1;12
Rajupalem;L.P Thanda;0710516008051501;21.05.2015;397;4000;1;4
Rajupalem;C.P Thanda;0710516008041500;21.05.2015;391;4000;1;4
Rajupalem;Beeravallipaya;0710516006021200;25.05.2015;664;4000;1;4
Rajupalem;Inumetla;0710516008021600;26.05.15;3597;12000;1;12
Nakarikallu;Nakarikallu;0710922004010400;26.05.2015;10778;12000;1;12
Nakarikallu;Sivapuram thanda H/o Nakarikallu;0710922004010400;26.05.2015;550;4000;1;4
Nakarikallu;Udayanagar thanda H/o Nakarikallu;0710922004010400;26.05.2015;250;4000;1;4
Amaravathi;Mandepudi;0710309017021900;13.05.15;3180;12000;10;120
Piduguralla;Patha Ganeshunipadu (New Colony Adarsh Colony);0710617004020700;29.04.2015;2200;4000;9;36
Piduguralla;Konanki (Yanadi colony);0710617004010600;25.05.2015;630;12000;1;12
Piduguralla;Santhinagar;0710617001030100;25.05.2015;1030;12000;1;12
Narasaraopet;Allurivaripalem;0710939007021000;11.05.2015;2607;4000;7;28
Narasaraopet;Ikkuru;0710939007010900;11.05.2015;3540;4000;9;36
Narasaraopet;Kesanupalli;0710939012011300;11.05.2015;2067;4000;5;20
Narasaraopet;Kasilingeswara colony, ST Colony, SRKT Colony;0721639012021300;11.05.2015;2905;4000;11;44
Narasaraopet;KSP Colony, Srinivasa Girijana colony of Yellamanda;0710939013011500;11.05.2015;1316;4000;5;20
Rompicherla;Nalagarlapadu;0710940006011200;11.05.2015;1983;4000;5;20
Rompicherla;Machavaram;0710940005011000;11.05.2015;3237;4000;8;32
Rompicherla;Paragaticherla;0710940005021100;11.05.2015;1709;4000;4;16
Rompicherla;Annavaram;0710940007011300;11.05.2015;2390;4000;9;36
Narasaraopet;Lingamguntla;0710939008011100;18.05.2015;7639;4000;19;76
Edlapadu;Solasa;0711037002010500;06.05.2015;4782;7000;10;70
Edlapadu;Kothapalem;0711037001030300;06.05.2015;1480;7000;3;21
Edlapadu;Thimmapuram;0711037009011200;06.05.2015;7265;12000;9;108
Chilakaluripet;Pasumarru;0711045010011400;13.05.2015;8168;12000;24;288
Edlapadu;Dintanapadu;0711037009021200;20.05.2015;1281;7000;3;21
Edlapadu;Lingaraopalem;0711037003020700;20.05.2015;3358;7000;7;49
Chilakaluripet;Manukondavaripalem ST Colony;0711045006010900;20.05.2015;288;7000;1;7
Chilakaluripet;Gottipadu;0711045009011300;20.05.2015;535;12000;1;12
Chilakaluripet;Mittapalem;0711045009041300;20.05.2015;616;12000;1;12
Bollapalli;Kandrika;0710821008021300;11.05.2015;1214;4000;5;20
