District,count,,Mandal,Count,,Village,Count,,Basin,Count,,Subbasin,Count,,Microbasin,Count
ANANTAPUR,80,,A.KONDURU,2332,,A.Gokulapadu,34,,5,30,,0,61293,,106,550
CHITTOOR,720,,ADDANKI,2217,,A.Gonehal,18,,6,2394,,5,30,,107,4
EAST GODAVARI,380,,ADONI,3893,,A.Konduru,153,,7,1196,,6,2394,,110,1196
GUNTUR,82,,AGIRIPALLE,2207,,Abbaya Palem,6,,8,1710,,7,1196,,115,21
KADAPA,20776,,ALLAGADDA,3569,,Abdullapuram,210,,9,1699,,8,1710,,117,8
KRISHNA,64853,,ALUR,1191,,Adapur,42,,11,9,,9,1699,,202,1710
KURNOOL,120093,,AMARAVATHI,9,,Adavi Budugur,12,,12,26,,11,9,,203,47
NELLORE,246,,ANANDAPURAM,1,,ADAVIVARAM,8,,13,2,,12,26,,204,106
PRAKASAM,108179,,ARDHAVEEDU,2331,,Addada,3,,20,184,,13,2,,205,194
SRIKAKULAM,688,,ASPARI,1682,,Addalamarri,110,,21,461,,26,115,,206,118
VISAKHAPATNAM,37,,ATLUR,2,,Addampalle,2,,23,8834,,27,8,,207,229
VIZIANAGARAM,6341,,ATMAKUR,2057,,Addanki (North) (U),121,,24,5155,,29,7,,208,183
WEST GODAVARI,102,,AVANIGADDA,393,,Addanki (PT),341,,25,121254,,30,11,,209,687
(blank),,,BADANGI,96,,Addapuseela,3,,26,53510,,31,1,,210,80
Grand Total,322577,,BALIJIPETA,80,,Adduruvalasa,9,,27,5866,,34,42,,211,4
,,,BALLIKURAVA,1219,,Adivi,1,,28,17197,,37,461,,212,276
,,,BANAGANAPALLE,4100,,Adivinekkalam,206,,29,12108,,40,8834,,213,635
,,,BANDI ATMAKUR,2682,,Adiviram,9,,30,10570,,41,5155,,214,429
,,,BANTUMILLI,3,,Adiviravulapadu,32,,31,5027,,42,18504,,215,31
,,,BAPATLA,3,,Adoni,9,,33,74634,,44,8049,,216,328
,,,BAPULAPADU,2311,,Adoni (M),14,,35,1,,45,54902,,222,151
,,,BESTAWARIPETA,3159,,Agaram,3,,39,696,,46,3372,,223,41
,,,BETHAMCHERLA,2912,,Agasaladinne,10,,40,14,,48,201,,224,1
,,,BOBBILI,58,,Agasanur,229,,(blank),,,49,15910,,314,9
,,,BOLLAPALLE,32,,Agaveli,511,,Grand Total,322577,,50,19,,315,21
,,,BONDAPALLE,10,,Aginiparru,15,,,,,52,7518,,316,5
,,,BRAHMAMGARIMATTAM,187,,Agiripalle,245,,,,,53,9022,,318,2
,,,C.BELAGAL,3345,,Ahobilam,66,,,,,55,3757,,405,1
,,,CHAGALAMARRI,3561,,Ainampudi,11,,,,,56,53510,,417,7
,,,CHAKRAYAPET,1753,,Ajjada,14,,,,,57,5866,,418,11
,,,CHALLAPALLE,1122,,Ajjampudi,41,,,,,58,17197,,434,196
,,,CHANDARLAPADU,908,,Akaveedu,692,,,,,59,12108,,436,14
,,,CHANDRASEKHARA PURAM,1543,,Akka Cheruvu,56,,,,,60,10570,,440,13
,,,CHAPAD,20,,Akkamamba Puram,26,,,,,61,5027,,442,14
,,,CHATRAI,5173,,Akkampet,7,,,,,65,3581,,445,1
,,,CHEEPURUPALLE,1529,,Akkapalem,153,,,,,69,6948,,454,112
,,,CHILAKALURIPET,21,,Akkemgundla,10,,,,,71,2786,,458,3
,,,CHIMAKURTHI,3326,,Akkireddigudem,91,,,,,72,26,,459,8
,,,CHINAGANJAM,444,,Akulakatta,5,,,,,74,1,,501,38
,,,CHINNAMANDEM,195,,Akumalla,100,,,,,80,14,,518,31
,,,CHIPPAGIRI,364,,Akunuru,137,,,,,81,696,,601,201
,,,CHIRALA,223,,Alaganur,181,,,,,(blank),,,602,1162
,,,CUMBUM,1158,,Alajangi,40,,,,,Grand Total,322577,,603,1197
,,,DARSI,3723,,Alamkonda,68,,,,,,,,604,1548
,,,DATTIRAJERU,3,,Alamur,1171,,,,,,,,605,998
,,,DENKADA,4,,Alavalapadu,112,,,,,,,,606,539
