BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
1,148,0.0010508,1,148,0.0010508,101,148,0.0010508
2,162,0.0011502,2,158,0.0011218,102,13,0.0000923
3,178,0.0012638,3,189,0.0013419,103,162,0.0011502
4,1282,0.0091022,4,562,0.0039902,104,134,0.0009514
5,1002,0.0071142,5,1597,0.0113387,105,201,0.0014271
6,7920,0.056232,6,8565,0.0608115,106,609,0.0043239
7,494,0.0035074,7,825,0.0058575,107,185,0.0013135
8,2040,0.014484,8,1734,0.0123114,108,39,0.0002769
9,15361,0.1090631,9,14603,0.1036813,109,262,0.0018602
10,5638,0.0400298,10,5859,0.0415989,110,828,0.0058788
11,68,0.0004828,11,72,0.0005112,111,178,0.0012638
12,1900,0.01349,12,1898,0.0134758,112,180,0.001278
13,119,0.0008449,13,344,0.0024424,113,213,0.0015123
14,4154,0.0294934,14,3883,0.0275693,114,801,0.0056871
15,2151,0.0152721,15,2173,0.0154283,115,171,0.0012141
16,2070,0.014697,16,2077,0.0147467,116,247,0.0017537
17,968,0.0068728,17,968,0.0068728,117,61,0.0004331
18,947,0.0067237,18,947,0.0067237,118,176,0.0012496
19,1296,0.0092016,19,1296,0.0092016,201,1574,0.0111754
20,7847,0.0557137,26,6,0.0000426,202,2026,0.0143846
21,5312,0.0377152,27,91,0.0006461,203,768,0.0054528
22,1970,0.013987,29,66,0.0004686,204,21,0.0001491
23,1181,0.0083851,31,1787,0.0126877,205,37,0.0002627
24,511,0.0036281,32,817,0.0058007,206,1543,0.0109553
25,33949,0.2410379,33,1043,0.0074053,207,1726,0.0122546
26,2068,0.0146828,34,1386,0.0098406,208,22,0.0001562
27,8667,0.0615357,35,45,0.0003195,209,1688,0.0119848
28,1102,0.0078242,36,9,0.0000639,210,38,0.0002698
29,2221,0.0157691,37,6005,0.0426355,211,19,0.0001349
30,1938,0.0137598,38,1925,0.0136675,212,4198,0.0298058
31,5259,0.0373389,39,2006,0.0142426,213,1360,0.009656
32,564,0.0040044,40,1125,0.0079875,214,2467,0.0175157
33,74105,0.5261455,41,311,0.0022081,215,3257,0.0231247
34,3639,0.0258369,42,2612,0.0185452,216,2491,0.0176861
35,4002,0.0284142,44,1790,0.012709,217,142,0.0010082
36,1817,0.0129007,45,4062,0.0288402,218,3124,0.0221804
37,3961,0.0281231,46,10254,0.0728034,219,164,0.0011644
38,4389,0.0311619,48,30,0.000213,220,254,0.0018034
39,11031,0.0783201,49,3697,0.0262487,221,1261,0.0089531
40,142,0.0010082,50,5238,0.0371898,222,113,0.0008023
,,,52,525,0.0037275,223,614,0.0043594
,,,53,616,0.0043736,311,497,0.0035287
,,,54,1383,0.0098193,312,942,0.0066882
,,,55,5808,0.0412368,313,491,0.0034861
,,,56,2126,0.0150946,314,68,0.0004828
,,,57,8822,0.0626362,315,528,0.0037488
,,,58,947,0.0067237,316,111,0.0007881
,,,59,2221,0.0157691,317,50,0.000355
,,,60,1935,0.0137385,318,69,0.0004899
,,,61,5262,0.0373602,319,477,0.0033867
,,,62,564,0.0040044,320,762,0.0054102
,,,63,4437,0.0315027,321,341,0.0024211
,,,64,3220,0.022862,322,639,0.0045369
,,,65,7504,0.0532784,323,33,0.0002343
,,,66,6261,0.0444531,324,42,0.0002982
,,,67,16557,0.1175547,326,7,0.0000497
,,,69,7022,0.0498562,327,165,0.0011715
,,,71,22472,0.1595512,328,671,0.0047641
,,,72,4737,0.0336327,329,474,0.0033654
,,,73,3604,0.0255884,330,584,0.0041464
,,,74,3488,0.0247648,331,825,0.0058575
,,,75,66,0.0004686,332,205,0.0014555
,,,76,1752,0.0124392,333,978,0.0069438
,,,77,286,0.0020306,334,143,0.0010153
,,,78,4207,0.0298697,335,292,0.0020732
,,,79,3408,0.0241968,336,4,0.0000284
,,,80,201,0.0014271,337,385,0.0027335
,,,81,11939,0.0847669,338,2,0.0000142
,,,,,,339,13,0.0000923
,,,,,,340,270,0.001917
,,,,,,341,6,0.0000426
,,,,,,401,740,0.005254
,,,,,,402,817,0.0058007
,,,,,,403,292,0.0020732
,,,,,,404,353,0.0025063
,,,,,,405,694,0.0049274
,,,,,,413,968,0.0068728
,,,,,,414,947,0.0067237
,,,,,,415,250,0.001775
,,,,,,416,990,0.007029
,,,,,,419,14,0.0000994
,,,,,,422,848,0.0060208
,,,,,,423,2,0.0000142
,,,,,,424,2,0.0000142
,,,,,,427,2,0.0000142
,,,,,,428,9,0.0000639
,,,,,,429,14,0.0000994
,,,,,,430,1,0.0000071
,,,,,,431,46,0.0003266
