BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
1,374,0.453087245,1,375,0.454283718,101,374,0.453087245
2,478,0.540429693,2,457,0.523736148,102,301,0.348162186
3,568,0.657256299,3,665,0.764592716,103,478,0.540429693
4,2324,3.195718676,4,1661,2.272893309,104,613,0.741266943
5,2398,3.999814415,5,2380,4.110612028,105,161,0.354061848
6,3103,5.9346818431,6,3634,6.6021985641,106,1176,1.879229873
7,827,0.8833709832,7,962,1.0927265952,107,1186,1.5371654281
8,567,0.826534834,8,531,0.805919876,108,211,0.251007486
9,2119,6.787956249,9,2013,6.506186905,109,565,0.847923624
10,2264,8.0971222636,10,2346,8.0401701096,110,938,1.0740429722
11,54,0.0719045805,11,54,0.0719045805,111,566,0.654836729
12,458,0.8402466189,12,434,0.7976671489,112,771,0.986013115
13,153,0.104564633,13,351,0.2417717599,113,486,0.630349574
14,1646,4.0811717313,14,1439,4.023607663,114,779,1.113194021
15,531,2.2928984482,15,566,2.5508756375,115,427,0.793572547
16,644,1.0517646271,16,641,0.9597969632,116,320,0.876760558
17,86,0.3819906853,17,85,0.3815701033,117,278,0.466564009
18,94,0.4582777229,18,94,0.4582777229,118,230,0.301565302
19,752,3.1762210673,19,752,3.1762210673,201,896,3.3110281963
20,1386,8.1635592521,26,30,0.048558432,202,266,0.478372648
21,449,3.9082470501,27,220,0.3338056237,203,42,0.132209122
22,223,2.8801128203,28,5,0.009042407,206,184,0.441787791
23,367,4.6172751046,29,119,0.3275548727,207,8,0.046313875
24,142,3.339908095,30,100,0.0354025847,209,37,0.080893406
25,1583,26.8236007818,31,240,4.5136920068,211,45,0.510134065
26,52,1.009386479,32,224,0.4082186773,212,516,1.362996596
27,554,6.4623614104,33,123,0.5695355551,213,346,0.793206406
28,41,0.68943138,34,45,0.0770303961,214,282,1.067052118
29,212,1.702938098,36,24,0.1635413346,215,209,0.594625163
30,164,1.840793441,37,561,4.9677180241,216,330,1.611485241
31,505,2.7421071715,38,192,1.0793496661,217,117,0.357960348
32,270,1.0134546275,39,228,2.9189039363,218,859,3.247114947
33,8101,51.8497999717,40,309,4.1466110166,219,87,0.211907027
34,330,1.614818477,41,130,3.169910971,220,186,0.630930759
35,567,2.9114256145,42,335,8.1348197692,221,231,0.48991638
36,220,1.8768208605,44,67,1.833673419,222,70,0.550308188
37,235,2.1900398562,45,412,3.688018832,223,81,0.20766616
38,224,2.080564423,46,301,5.3370252973,224,44,0.189735482
39,1931,7.3903139561,48,1,0.004301793,301,1,0.010305803
40,18,0.0494249274,49,306,6.9960808458,303,185,0.2926282314
,,,50,102,1.099319491,307,9,0.0057763173
,,,52,64,0.372617044,308,2,0.019595272
,,,53,19,0.298228997,309,1,0.0055
,,,54,2,0.010006285,311,264,0.908429602
,,,55,121,1.5191433864,312,87,0.236056771
,,,56,53,1.012695432,313,181,0.2754470563
,,,57,555,6.5165841714,314,54,0.0719045805
,,,58,40,0.635208619,315,192,0.2840621112
,,,59,212,1.702938098,316,36,0.0686321457
,,,60,164,1.840793441,317,146,0.097677057
,,,61,505,2.7421071715,318,7,0.006887576
,,,62,270,1.0134546275,319,216,0.5481848764
,,,63,296,4.20709076,320,401,0.5136265628
,,,64,41,0.815102362,321,71,0.2910026124
,,,65,139,2.9969743305,322,248,0.746260617
,,,66,113,3.59574649,323,13,0.062403997
