BASIN_CODE,COUNT,CAPACITY,SB_CODE,COUNT,CAPACITY,MB_CODE,COUNT,CAPACITY
1,19,0.006707,1,19,0.006707,101,19,0.006707
2,88,0.031064,2,61,0.021533,102,18,0.006354
3,35,0.012355,3,61,0.021533,103,88,0.031064
4,91,0.032123,4,83,0.029299,104,23,0.008119
5,200,0.0706,5,189,0.066717,105,76,0.026828
6,356,0.125668,6,367,0.129551,106,57,0.020121
7,38,0.013414,7,42,0.014826,107,37,0.013061
8,34,0.012002,8,34,0.012002,108,9,0.003177
9,43,0.015179,9,46,0.016238,109,14,0.004942
10,19,0.006707,10,18,0.006354,110,42,0.014826
13,3,0.001059,13,3,0.001059,111,35,0.012355
14,16,0.005648,14,19,0.006707,112,51,0.018003
15,7,0.002471,15,7,0.002471,113,47,0.016591
16,3,0.001059,16,3,0.001059,114,17,0.006001
17,4,0.001412,17,4,0.001412,115,13,0.004589
18,2,0.000706,18,2,0.000706,116,30,0.01059
19,34,0.012002,19,34,0.012002,117,59,0.020827
20,47,0.016591,27,2,0.000706,118,16,0.005648
21,57,0.020121,29,8,0.002824,201,15,0.005295
22,1,0.000353,30,10,0.00353,202,16,0.005648
23,10,0.00353,31,18,0.006354,203,8,0.002824
24,20,0.00706,33,7,0.002471,204,22,0.007766
25,569,0.200857,37,59,0.020827,205,8,0.002824
26,122,0.043066,39,1,0.000353,206,4,0.001412
27,400,0.1412,40,12,0.004236,207,27,0.009531
28,16,0.005648,41,7,0.002471,208,54,0.019062
29,301,0.106253,42,31,0.010943,209,1,0.000353
30,400,0.1412,44,26,0.009178,210,31,0.010943
31,349,0.123197,45,192,0.067776,211,18,0.006354
32,31,0.010943,46,323,0.114019,212,9,0.003177
33,3863,1.363639,49,59,0.020827,213,4,0.001412
34,97,0.034241,53,2,0.000706,215,12,0.004236
35,504,0.177912,55,12,0.004236,216,13,0.004589
36,76,0.026828,56,126,0.044478,219,2,0.000706
37,222,0.078366,57,400,0.1412,223,3,0.001059
38,313,0.110489,58,16,0.005648,224,13,0.004589
39,786,0.277458,59,301,0.106253,305,1,0.000353
40,3,0.001059,60,400,0.1412,311,5,0.001765
,,,61,349,0.123197,312,2,0.000706
,,,62,31,0.010943,313,2,0.000706
,,,63,206,0.072718,317,3,0.001059
,,,64,213,0.075189,319,1,0.000353
,,,65,272,0.096016,320,3,0.001059
,,,66,165,0.058245,324,3,0.001059
,,,67,653,0.230509,326,1,0.000353
,,,69,542,0.191326,327,2,0.000706
,,,71,1573,0.555269,328,3,0.001059
,,,72,184,0.064952,329,3,0.001059
,,,73,89,0.031417,330,3,0.001059
,,,74,416,0.146848,331,2,0.000706
,,,75,37,0.013061,333,5,0.001765
,,,76,62,0.021886,337,1,0.000353
,,,77,22,0.007766,403,4,0.001412
,,,78,213,0.075189,404,17,0.006001
,,,79,256,0.090368,405,1,0.000353
,,,80,12,0.004236,412,7,0.002471
,,,81,880,0.31064,413,4,0.001412
,,,,,,414,2,0.000706
,,,,,,415,1,0.000353
,,,,,,416,9,0.003177
