ANANTAPUR,49920,0.34944,,A.KONDURU,314,0.002198,,(Shro) Thirumalapuram,9,0.000063,,1,143,0.001001,,0,13434,0.094038,,101,143,0.001001
CHITTOOR,29664,0.207648,,ADDANKI,385,0.002695,,113 Thalluru,22,0.000154,,2,162,0.001134,,1,143,0.001001,,102,13,0.000091
EAST GODAVARI,8439,0.059073,,ADDATEEGALA,1,0.000007,,184.Gollapalle,27,0.000189,,3,165,0.001155,,2,162,0.001134,,103,162,0.001134
GUNTUR,14195,0.099365,,ADONI,423,0.002961,,190.Ramapuram,45,0.000315,,4,1282,0.008974,,3,165,0.001155,,104,134,0.000938
KADAPA,18654,0.130578,,AGALI,221,0.001547,,197.Ramapuram,6,0.000042,,5,1001,0.007007,,4,1282,0.008974,,105,201,0.001407
KRISHNA,8214,0.057498,,AGIRIPALLE,311,0.002177,,29 -A. Chinta -Makulapalle,15,0.000105,,6,7584,0.053088,,5,1001,0.007007,,106,609,0.004263
KURNOOL,7937,0.055559,,AINAVILLI,14,0.000098,,48 Basivireddipalle,34,0.000238,,7,828,0.005796,,6,7584,0.053088,,107,185,0.001295
NELLORE,11254,0.078778,,AKIVIDU,1,0.000007,,5.Lakshmambapuram,2,0.000014,,8,2039,0.014273,,7,828,0.005796,,108,39,0.000273
PRAKASAM,19649,0.137543,,ALAMURU,1,0.000007,,50 Basivireddipalle,16,0.000112,,9,14270,0.09989,,8,2039,0.014273,,109,262,0.001834
SRIKAKULAM,4038,0.028266,,ALLAGADDA,303,0.002121,,50 Kannikapuram,19,0.000133,,10,5884,0.041188,,9,14270,0.09989,,110,828,0.005796
VISAKHAPATNAM,8701,0.060907,,ALLAVARAM,106,0.000742,,52 Kannikapuram,3,0.000021,,11,68,0.000476,,10,5884,0.041188,,111,165,0.001155
VIZIANAGARAM,30834,0.215838,,ALLUR,4,0.000028,,56 Kannikapuram,1,0.000007,,12,1900,0.0133,,11,68,0.000476,,112,180,0.00126
WEST GODAVARI,11666,0.081662,,ALUR,430,0.00301,,75-Tyallur,15,0.000105,,13,119,0.000833,,12,1900,0.0133,,113,212,0.001484
,,,,AMADAGUR,771,0.005397,,A. Kothapalle,5,0.000035,,14,3569,0.024983,,13,119,0.000833,,114,801,0.005607
,,,,AMADALAVALASA,49,0.000343,,A.Gokavaram,21,0.000147,,15,2151,0.015057,,14,3569,0.024983,,115,171,0.001197
,,,,AMALAPURAM,46,0.000322,,A.Gokulapadu,9,0.000063,,16,2070,0.01449,,15,2151,0.015057,,116,247,0.001729
,,,,AMARAPURAM,589,0.004123,,A.Gonehal,1,0.000007,,17,967,0.006769,,16,2070,0.01449,,117,61,0.000427
,,,,AMARAVATHI,418,0.002926,,A.K. Agraharam,1,0.000007,,18,947,0.006629,,17,967,0.006769,,118,176,0.001232
,,,,AMBAJIPETA,2,0.000014,,A.Konduru,74,0.000518,,19,1296,0.009072,,18,947,0.006629,,201,1574,0.011018
,,,,AMRUTHALUR,251,0.001757,,A.Kothakota,9,0.000063,,20,8646,0.060522,,19,1296,0.009072,,202,2026,0.014182
,,,,ANAKAPALLI,464,0.003248,,A.Ramachandrapuram,2,0.000014,,21,6449,0.045143,,26,5,0.000035,,203,768,0.005376
,,,,ANANDAPURAM,175,0.001225,,A.V.Nagaram,9,0.000063,,22,1970,0.01379,,27,1523,0.010661,,204,21,0.000147
,,,,ANANTAPUR,771,0.005397,,Abbanagudavalli,1,0.000007,,23,1172,0.008204,,29,90,0.00063,,205,37,0.000259
,,,,ANANTHAGIRI,17,0.000119,,Abbavaram (Rural),10,0.00007,,24,319,0.002233,,31,1787,0.012509,,206,1543,0.010801
,,,,ANANTHASAGARAM,423,0.002961,,Abbedoddi,17,0.000119,,25,37610,0.26327,,32,817,0.005719,,207,1726,0.012082
,,,,ANAPARTHY,12,0.000084,,Abburu,6,0.000042,,26,7817,0.054719,,33,1093,0.007651,,208,22,0.000154
,,,,ANUMASAMUDRAMPETA,724,0.005068,,Abbusahebpeta,22,0.000154,,27,1897,0.013279,,34,1372,0.009604,,209,1688,0.011816
,,,,ARDHAVEEDU,881,0.006167,,Achamma Agraharam,1,0.000007,,28,2221,0.015547,,35,11,0.000077,,210,38,0.000266
,,,,ASPARI,214,0.001498,,Adadakulapalle,48,0.000336,,29,1934,0.013538,,36,23,0.000161,,211,19,0.000133
,,,,ATCHAMPET,160,0.00112,,Adapur,5,0.000035,,30,2707,0.018949,,37,6449,0.045143,,212,4198,0.029386
,,,,ATCHUTAPURAM,60,0.00042,,Adaram,10,0.00007,,31,3758,0.026306,,38,1925,0.013475,,213,1360,0.00952
,,,,ATLUR,428,0.002996,,Adavaram,32,0.000224,,32,452,0.003164,,39,1970,0.01379,,214,2467,0.017269
,,,,ATMAKUR,1586,0.011102,,Adavi Budugur,1,0.000007,,33,69934,0.489538,,40,1172,0.008204,,215,3257,0.022799
,,,,ATREYAPURAM,10,0.00007,,Adavikothuru,30,0.00021,,34,4627,0.032389,,41,319,0.002233,,216,2491,0.017437
,,,,AVANIGADDA,45,0.000315,,Adavimulakapalle,14,0.000098,,35,3429,0.024003,,42,2283,0.015981,,217,142,0.000994
