District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
ANANTAPUR,1835,0.647755,,A.KONDURU,5,0.001765,,(Shro) Thirumalapuram,1,0.000353,,1,96,0.033888,,0,439,0.154967,,101,96,0.033888
CHITTOOR,2848,1.005344,,ADDANKI,5,0.001765,,155.Kammapalle,1,0.000353,,2,152,0.053656,,1,96,0.033888,,102,20,0.00706
EAST GODAVARI,82,0.028946,,ADDATEEGALA,4,0.001412,,184.Gollapalle,4,0.001412,,3,88,0.031064,,2,152,0.053656,,103,152,0.053656
GUNTUR,42,0.014826,,ADONI,6,0.002118,,190.Ramapuram,9,0.003177,,4,339,0.119667,,3,88,0.031064,,104,61,0.021533
KADAPA,951,0.335703,,AGALI,20,0.00706,,29 -A. Chinta -Makulapalle,2,0.000706,,5,303,0.106959,,4,339,0.119667,,105,156,0.055068
KRISHNA,178,0.062834,,AGIRIPALLE,1,0.000353,,48 Basivireddipalle,1,0.000353,,6,491,0.173323,,5,303,0.106959,,106,67,0.023651
KURNOOL,645,0.227685,,ALLAGADDA,10,0.00353,,50 Basivireddipalle,2,0.000706,,7,66,0.023298,,6,491,0.173323,,107,30,0.01059
NELLORE,109,0.038477,,ALUR,27,0.009531,,50 Kannikapuram,5,0.001765,,8,43,0.015179,,7,66,0.023298,,108,25,0.008825
PRAKASAM,1854,0.654462,,AMADAGUR,16,0.005648,,52 Kannikapuram,7,0.002471,,9,221,0.078013,,8,43,0.015179,,109,82,0.028946
SRIKAKULAM,1306,0.461018,,AMADALAVALASA,34,0.012002,,56 Kannikapuram,3,0.001059,,10,123,0.043419,,9,221,0.078013,,110,66,0.023298
VISAKHAPATNAM,230,0.08119,,AMARAPURAM,17,0.006001,,Abaka,1,0.000353,,11,7,0.002471,,10,123,0.043419,,111,88,0.031064
VIZIANAGARAM,617,0.217801,,ANAKAPALLI,5,0.001765,,Abbaya Palem,3,0.001059,,12,35,0.012355,,11,7,0.002471,,112,69,0.024357
WEST GODAVARI,100,0.0353,,ANANDAPURAM,10,0.00353,,Abdullapuram,2,0.000706,,13,10,0.00353,,12,35,0.012355,,113,76,0.026828
(blank),,,,ANANTAPUR,28,0.009884,,Achamma Agraharam,1,0.000353,,14,80,0.02824,,13,10,0.00353,,114,163,0.057539
Grand Total,10797,3.811341,,ANANTHAGIRI,3,0.001059,,Adapaka,1,0.000353,,15,42,0.014826,,14,80,0.02824,,115,37,0.013061
,,,,ANUMASAMUDRAMPETA,16,0.005648,,Adapur,1,0.000353,,16,41,0.014473,,15,42,0.014826,,116,62,0.021886
,,,,ARDHAVEEDU,43,0.015179,,Adavi Budugur,6,0.002118,,17,7,0.002471,,16,41,0.014473,,117,35,0.012355
,,,,ASPARI,20,0.00706,,Adavimulakapalle,8,0.002824,,18,16,0.005648,,17,7,0.002471,,118,24,0.008472
,,,,ATCHUTAPURAM,1,0.000353,,Addapuseela,2,0.000706,,19,15,0.005295,,18,16,0.005648,,201,53,0.018709
,,,,ATLUR,11,0.003883,,Addasaram,2,0.000706,,20,73,0.025769,,19,15,0.005295,,202,23,0.008119
,,,,ATMAKUR,22,0.007766,,Addateega,1,0.000353,,21,99,0.034947,,26,1,0.000353,,203,19,0.006707
,,,,B.KODUR,1,0.000353,,Adduripeta,1,0.000353,,22,5,0.001765,,27,31,0.010943,,204,10,0.00353
,,,,B.KOTHAKOTA,7,0.002471,,Adduru,1,0.000353,,23,37,0.013061,,28,1,0.000353,,205,9,0.003177
,,,,BADANGI,5,0.001765,,Adenapalle,2,0.000706,,24,7,0.002471,,29,1,0.000353,,206,21,0.007413
,,,,BADVEL,9,0.003177,,Adigoppula,1,0.000353,,25,1094,0.386182,,30,4,0.001412,,207,20,0.00706
,,,,BAIREDDIPALLE,72,0.025416,,Adilakshmamba Puram,1,0.000353,,26,534,0.188502,,31,23,0.008119,,208,19,0.006707
,,,,BALAYAPALLE,5,0.001765,,Adiviravulapadu,2,0.000706,,27,48,0.016944,,33,12,0.004236,,209,34,0.012002
,,,,BALIJIPETA,3,0.001059,,Agaram,6,0.002118,,28,286,0.100958,,37,99,0.034947,,210,38,0.013414
,,,,BALLIKURAVA,6,0.002118,,Aggichenupalle,4,0.001412,,29,541,0.190973,,39,5,0.001765,,211,31,0.010943
,,,,BANAGANAPALLE,7,0.002471,,Agraharam,2,0.000706,,30,239,0.084367,,40,37,0.013061,,212,36,0.012708
,,,,BANGARUPALEM,19,0.006707,,Agraharampalle,2,0.000706,,31,111,0.039183,,41,7,0.002471,,213,58,0.020474
,,,,BAPULAPADU,6,0.002118,,Ajjaram,6,0.002118,,32,6,0.002118,,42,27,0.009531,,214,49,0.017297
,,,,BATHALAPALLE,18,0.006354,,Akanambattu,1,0.000353,,33,3553,1.254209,,44,51,0.018003,,215,15,0.005295
,,,,BELUGUPPA,32,0.011296,,Akaveedu,8,0.002824,,34,64,0.022592,,45,340,0.12002,,216,55,0.019415
,,,,BESTAWARIPETA,87,0.030711,,Akkampet,1,0.000353,,35,145,0.051185,,46,435,0.153555,,217,3,0.001059
,,,,BETHAMCHERLA,34,0.012002,,Akkarapaka,1,0.000353,,36,83,0.029299,,49,94,0.033182,,218,38,0.013414
,,,,BHAMINI,20,0.00706,,Akkivalasa,7,0.002471,,37,92,0.032476,,50,11,0.003883,,219,12,0.004236
,,,,BHEEMUNIPATNAM,7,0.002471,,Akkivaram,3,0.001059,,38,299,0.105547,,52,9,0.003177,,220,9,0.003177
,,,,BHOGAPURAM,9,0.003177,,Akkurada,3,0.001059,,39,1272,0.449016,,53,7,0.002471,,221,12,0.004236
,,,,BOBBILI,33,0.011649,,Akulakatta,1,0.000353,,40,34,0.012002,,55,120,0.04236,,222,5,0.001765
,,,,BOLLAPALLE,4,0.001412,,Akularaghunadha Puram,2,0.000706,,(blank),,,,56,534,0.188502,,223,32,0.011296
,,,,BOMMANAHAL,18,0.006354,,Akulatampara,1,0.000353,,Grand Total,10797,3.811341,,57,48,0.016944,,224,8,0.002824
,,,,BONDAPALLE,20,0.00706,,Akuledu,2,0.000706,,,,,,58,286,0.100958,,306,3,0.001059
,,,,BRAHMAMGARIMATTAM,7,0.002471,,Akurajupalle,1,0.000353,,,,,,59,541,0.190973,,311,8,0.002824
,,,,BRAHMASAMUDRAM,4,0.001412,,Alamanda,1,0.000353,,,,,,60,239,0.084367,,312,1,0.000353
,,,,BUCHINAIDU  KANDRIGA,51,0.018003,,Alamkonda,1,0.000353,,,,,,61,111,0.039183,,313,24,0.008472
,,,,BUKKAPATNAM,11,0.003883,,Alamur,1,0.000353,,,,,,62,6,0.002118,,314,7,0.002471
,,,,BUKKARAYA  SAMUDRAM,41,0.014473,,Alapalle,1,0.000353,,,,,,63,116,0.040948,,315,20,0.00706
,,,,BURJA,43,0.015179,,Alathur,8,0.002824,,,,,,64,93,0.032829,,316,3,0.001059
,,,,BUTCHAYYAPETA,5,0.001765,,Alikam,1,0.000353,,,,,,65,306,0.108018,,317,10,0.00353
,,,,BUTTAYAGUDEM,38,0.013414,,Allam puttu,1,0.000353,,,,,,66,156,0.055068,,319,18,0.006354
,,,,C.BELAGAL,10,0.00353,,Allamadugu,13,0.004589,,,,,,67,616,0.217448,,320,16,0.005648
,,,,CHAGALAMARRI,3,0.001059,,Allampadu,4,0.001412,,,,,,69,725,0.255925,,321,9,0.003177
,,,,CHAKRAYAPET,65,0.022945,,Allapalle,2,0.000706,,,,,,71,1038,0.366414,,322,4,0.001412
,,,,CHANDARLAPADU,10,0.00353,,Allinagaram,4,0.001412,,,,,,72,64,0.022592,,324,1,0.000353
,,,,CHANDRAGIRI,6,0.002118,,Allipoolagunta,2,0.000706,,,,,,73,64,0.022592,,326,4,0.001412
,,,,CHANDRASEKHARA PURAM,102,0.036006,,Allugundu,13,0.004589,,,,,,74,145,0.051185,,327,7,0.002471
,,,,CHATRAI,25,0.008825,,Allukhola,1,0.000353,,,,,,75,11,0.003883,,328,15,0.005295
