District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
ANANTAPUR,1958,0.691174,,A.KONDURU,4,0.001412,,(Shro) Thirumalapuram,3,0.001059,,1,19,0.006707,,0,325,0.114725,,101,19,0.006707
CHITTOOR,2652,0.936156,,ADDANKI,8,0.002824,,155.Kammapalle,1,0.000353,,2,88,0.031064,,1,19,0.006707,,102,18,0.006354
EAST GODAVARI,71,0.025063,,ADDATEEGALA,21,0.007413,,190.Ramapuram,2,0.000706,,3,35,0.012355,,2,88,0.031064,,103,88,0.031064
GUNTUR,11,0.003883,,AGALI,21,0.007413,,48 Basivireddipalle,3,0.001059,,4,91,0.032123,,3,35,0.012355,,104,23,0.008119
KADAPA,906,0.319818,,AGIRIPALLE,4,0.001412,,50 Basivireddipalle,2,0.000706,,5,201,0.070953,,4,91,0.032123,,105,76,0.026828
KRISHNA,108,0.038124,,ALLAGADDA,8,0.002824,,50 Kannikapuram,1,0.000353,,6,346,0.122138,,5,201,0.070953,,106,57,0.020121
KURNOOL,361,0.127433,,ALUR,11,0.003883,,52 Kannikapuram,2,0.000706,,7,42,0.014826,,6,346,0.122138,,107,37,0.013061
NELLORE,489,0.172617,,AMADAGUR,28,0.009884,,A.Kothakota,2,0.000706,,8,34,0.012002,,7,42,0.014826,,108,9,0.003177
PRAKASAM,1594,0.562682,,AMADALAVALASA,11,0.003883,,Abaka,1,0.000353,,9,43,0.015179,,8,34,0.012002,,109,14,0.004942
SRIKAKULAM,648,0.228744,,AMARAPURAM,15,0.005295,,Abbavaram (Rural),3,0.001059,,10,23,0.008119,,9,43,0.015179,,110,42,0.014826
VISAKHAPATNAM,32,0.011296,,ANANTAPUR,21,0.007413,,Abbaya Palem,1,0.000353,,13,3,0.001059,,10,23,0.008119,,111,35,0.012355
VIZIANAGARAM,271,0.095663,,ANANTHASAGARAM,4,0.001412,,Adadakulapalle,3,0.001059,,14,13,0.004589,,13,3,0.001059,,112,51,0.018003
WEST GODAVARI,78,0.027534,,ANUMASAMUDRAMPETA,46,0.016238,,Adapaka,2,0.000706,,15,7,0.002471,,14,13,0.004589,,113,47,0.016591
(blank),,,,ARDHAVEEDU,11,0.003883,,Adapur,1,0.000353,,16,3,0.001059,,15,7,0.002471,,114,17,0.006001
Grand Total,9179,3.240187,,ASPARI,9,0.003177,,Adaram,2,0.000706,,17,4,0.001412,,16,3,0.001059,,115,13,0.004589
,,,,ATCHUTAPURAM,1,0.000353,,Adaripadu,4,0.001412,,18,2,0.000706,,17,4,0.001412,,116,30,0.01059
,,,,ATLUR,7,0.002471,,Adavi Budugur,2,0.000706,,19,34,0.012002,,18,2,0.000706,,117,59,0.020827
,,,,ATMAKUR,28,0.009884,,Adavikothuru,8,0.002824,,20,49,0.017297,,19,34,0.012002,,118,16,0.005648
,,,,B.KODUR,8,0.002824,,Adavimulakapalle,1,0.000353,,21,68,0.024004,,27,6,0.002118,,201,15,0.005295
,,,,B.KOTHAKOTA,9,0.003177,,Addanki (PT),1,0.000353,,22,1,0.000353,,29,11,0.003883,,202,16,0.005648
,,,,BADVEL,4,0.001412,,Addepudi,1,0.000353,,23,10,0.00353,,30,10,0.00353,,203,8,0.002824
,,,,BAIREDDIPALLE,44,0.015532,,Addukonda,1,0.000353,,24,8,0.002824,,31,18,0.006354,,204,22,0.007766
,,,,BALAYAPALLE,22,0.007766,,Adduru,1,0.000353,,25,781,0.275693,,33,4,0.001412,,205,8,0.002824
,,,,BALLIKURAVA,16,0.005648,,Adenapalle,3,0.001059,,26,380,0.13414,,37,68,0.024004,,206,4,0.001412
,,,,BANAGANAPALLE,4,0.001412,,Adivigollapalle,1,0.000353,,27,25,0.008825,,39,1,0.000353,,207,27,0.009531
,,,,BANGARUPALEM,9,0.003177,,Adivinekkalam,1,0.000353,,28,301,0.106253,,40,10,0.00353,,208,54,0.019062
,,,,BAPULAPADU,15,0.005295,,Adiviravulapadu,1,0.000353,,29,400,0.1412,,41,8,0.002824,,209,1,0.000353
,,,,BATHALAPALLE,33,0.011649,,Agadur,3,0.001059,,30,275,0.097075,,42,30,0.01059,,210,31,0.010943
,,,,BELUGUPPA,25,0.008825,,Agaram,5,0.001765,,31,139,0.049067,,44,26,0.009178,,211,18,0.006354
,,,,BESTAWARIPETA,40,0.01412,,Agraharam,4,0.001412,,32,28,0.009884,,45,192,0.067776,,212,9,0.003177
,,,,BETHAMCHERLA,11,0.003883,,Ajjaram,1,0.000353,,33,3710,1.30963,,46,330,0.11649,,213,4,0.001412
,,,,BHAMINI,4,0.001412,,Ajuru,1,0.000353,,34,128,0.045184,,49,61,0.021533,,215,12,0.004236
,,,,BHOGAPURAM,1,0.000353,,Akepadu,7,0.002471,,35,380,0.13414,,52,1,0.000353,,216,13,0.004589
,,,,BOBBILI,16,0.005648,,Akka Cheruvu,1,0.000353,,36,125,0.044125,,53,1,0.000353,,219,2,0.000706
,,,,BOLLAPALLE,1,0.000353,,Akkasamudram,1,0.000353,,37,225,0.079425,,55,140,0.04942,,223,3,0.001059
,,,,BOMMANAHAL,44,0.015532,,Alamuru,2,0.000706,,38,265,0.093545,,56,380,0.13414,,224,13,0.004589
,,,,BONDAPALLE,10,0.00353,,Alapalle,3,0.001059,,39,886,0.312758,,57,25,0.008825,,305,1,0.000353
,,,,BRAHMAMGARIMATTAM,10,0.00353,,Alathur,9,0.003177,,40,7,0.002471,,58,301,0.106253,,311,5,0.001765
,,,,BRAHMASAMUDRAM,7,0.002471,,Alavalapadu,3,0.001059,,(blank),,,,59,400,0.1412,,312,2,0.000706
,,,,BUCHINAIDU  KANDRIGA,20,0.00706,,Alikam,1,0.000353,,Grand Total,9179,3.240187,,60,275,0.097075,,313,2,0.000706
,,,,BUKKAPATNAM,24,0.008472,,Alimelu Manga Puram,2,0.000706,,,,,,61,139,0.049067,,317,3,0.001059
,,,,BUKKARAYA  SAMUDRAM,9,0.003177,,Alireddipalle,1,0.000353,,,,,,62,28,0.009884,,319,1,0.000353
,,,,BURJA,18,0.006354,,Allamadugu,5,0.001765,,,,,,63,171,0.060363,,320,3,0.001059
,,,,BUTTAYAGUDEM,16,0.005648,,Allampadu,12,0.004236,,,,,,64,180,0.06354,,324,3,0.001059
,,,,C.BELAGAL,4,0.001412,,Allapalle,1,0.000353,,,,,,65,301,0.106253,,326,1,0.000353
,,,,CHAGALAMARRI,3,0.001059,,Allipoolagunta,2,0.000706,,,,,,66,169,0.059657,,327,2,0.000706
,,,,CHAKRAYAPET,43,0.015179,,Allugundu,6,0.002118,,,,,,67,650,0.22945,,328,3,0.001059
,,,,CHANDARLAPADU,4,0.001412,,Allur,4,0.001412,,,,,,69,542,0.191326,,329,3,0.001059
