FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
0,Polygon,0,0,0,0,0,0,611,6,11,KRISHNA,A.KONDURU,A.Konduru,334,A KONDURU,16,0.005648,314,0.002198,73,0.025769,5,0.001765,19,0.132274,4,0.001412
1,Polygon,1,1,1,1,1,1,541,5,41,WEST GODAVARI,ACHANTA,Achanta,465,ACHANTA,0,0,0,0,0,0,0,0,0,0,0,0
2,Polygon,2,2,2,2,2,2,816,8,16,PRAKASAM,ADDANKI,Addanki,255,ADDANKI,4,0.001412,385,0.002695,31,0.010943,5,0.001765,6,0.144333,8,0.002824
3,Polygon,3,3,3,3,3,3,403,4,3,EAST GODAVARI,ADDATEEGALA,Addateegala,412,ADDATEEGALA,121,0.042713,1,0.000007,40,0.01412,4,0.001412,261,0.463012,21,0.007413
4,Polygon,4,4,4,4,4,4,1323,13,23,KURNOOL,ADONI,Adoni,607,ADONI,38,0.013414,423,0.002961,310,0.10943,6,0.002118,9,0.256514,0,0
5,Polygon,5,5,5,5,5,5,1262,12,62,ANANTAPUR,AGALI,Agali,144,AGALI,7,0.002471,221,0.001547,148,0.052244,20,0.00706,30,0.485658,19,0.006707
6,Polygon,6,6,6,6,6,6,622,6,22,KRISHNA,AGIRIPALLE,Agiripalle,361,AGIRIPALLE,129,0.045537,311,0.002177,20,0.00706,1,0.000353,119,0.926637,4,0.001412
7,Polygon,7,7,7,7,7,7,449,4,49,EAST GODAVARI,AINAVILLI,Ainavilli,522,AINAVILLI,0,0,14,0.000098,0,0,0,0,1,0.00003,0,0
8,Polygon,8,8,8,8,8,8,534,5,34,WEST GODAVARI,AKIVIDU,Akividu,437,AKIVEEDU,0,0,1,0.000007,0,0,0,0,0,0,0,0
9,Polygon,9,9,9,9,9,9,442,4,42,EAST GODAVARI,ALAMURU,Alamuru,510,ALAMURU,0,0,1,0.000007,0,0,0,0,0,0,0,0
10,Polygon,10,10,10,10,10,10,1338,13,38,KURNOOL,ALLAGADDA,Allagadda,24,ALLAGADDA,11,0.003883,303,0.002121,35,0.012355,10,0.00353,19,0.176287,8,0.002824
11,Polygon,11,11,11,11,11,11,455,4,55,EAST GODAVARI,ALLAVARAM,Allavaram,535,ALLAVARAM,0,0,106,0.000742,0,0,0,0,2,0.000334,0,0
12,Polygon,12,12,12,12,12,12,915,9,15,NELLORE,ALLUR,Allur,223,ALLUR,0,0,4,0.000028,0,0,0,0,15,0.041172,0,0
13,Polygon,13,13,13,13,13,13,1325,13,25,KURNOOL,ALUR,Alur,600,ALUR,34,0.012002,430,0.00301,71,0.025063,27,0.009531,4,0.068617,11,0.003883
14,Polygon,14,14,14,14,14,14,1245,12,45,ANANTAPUR,AMADAGUR,Amadagur,129,AMADAGUR,24,0.008472,771,0.005397,128,0.045184,16,0.005648,156,0.784231,27,0.009531
