dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
611,6,11,Krishna,A.KONDURU,A.Konduru,334,A KONDURU,16,0.005648,314,0.002198,73,0.025769,5,0.001765,19,0.132274,4,0.001412
541,5,41,West Godavari,ACHANTA,Achanta,465,ACHANTA,0,0,0,0,0,0,0,0,0,0,0,0
816,8,16,Prakasam,ADDANKI,Addanki,255,ADDANKI,4,0.001412,385,0.002695,31,0.010943,5,0.001765,6,0.144333,8,0.002824
403,4,3,East Godavari,ADDATEEGALA,Addateegala,412,ADDATEEGALA,121,0.042713,1,0.000007,40,0.01412,4,0.001412,261,0.463012,21,0.007413
1323,13,23,Kurnool,ADONI,Adoni,607,ADONI,38,0.013414,423,0.002961,310,0.10943,6,0.002118,9,0.256514,0,0
1262,12,62,Anantapur,AGALI,Agali,144,AGALI,7,0.002471,221,0.001547,148,0.052244,20,0.00706,30,0.485658,19,0.006707
622,6,22,Krishna,AGIRIPALLE,Agiripalle,361,AGIRIPALLE,129,0.045537,311,0.002177,20,0.00706,1,0.000353,119,0.926637,4,0.001412
449,4,49,East Godavari,AINAVILLI,Ainavilli,522,AINAVILLI,0,0,14,0.000098,0,0,0,0,1,0.00003,0,0
534,5,34,West Godavari,AKIVIDU,Akividu,437,AKIVEEDU,0,0,1,0.000007,0,0,0,0,0,0,0,0
442,4,42,East Godavari,ALAMURU,Alamuru,510,ALAMURU,0,0,1,0.000007,0,0,0,0,0,0,0,0
1338,13,38,Kurnool,ALLAGADDA,Allagadda,24,ALLAGADDA,11,0.003883,303,0.002121,35,0.012355,10,0.00353,19,0.176287,8,0.002824
455,4,55,East Godavari,ALLAVARAM,Allavaram,535,ALLAVARAM,0,0,106,0.000742,0,0,0,0,2,0.000334,0,0
915,9,15,Nellore,ALLUR,Allur,223,ALLUR,0,0,4,0.000028,0,0,0,0,15,0.041172,0,0
1325,13,25,Kurnool,ALUR,Alur,600,ALUR,34,0.012002,430,0.00301,71,0.025063,27,0.009531,4,0.068617,11,0.003883
1245,12,45,Anantapur,AMADAGUR,Amadagur,129,AMADAGUR,24,0.008472,771,0.005397,128,0.045184,16,0.005648,156,0.784231,27,0.009531
118,1,18,Srikakulam,AMADALAVALASA,Amadalavalasa,617,AMADALAVALASA,0,0,49,0.000343,69,0.024357,34,0.012002,274,0.602666,11,0.003883
454,4,54,East Godavari,AMALAPURAM,Amalapuram,546,AMALAPURAM,0,0,46,0.000322,0,0,0,0,4,0.004633,0,0
