A konduru,5,0.001765
Addanki,4,0.001412
Addateegala,3,0.001059
Adoni,7,0.002471
Agali,20,0.00706
Agiripalle,1,0.000353
Allagadda,5,0.001765
Alur,31,0.010943
Amadagur,13,0.004589
Amadalavalasa,36,0.012708
Amarapuram,17,0.006001
Anakapalli,6,0.002118
Anandapuram,8,0.002824
Anantapur,15,0.005295
Anumasamudrampeta,16,0.005648
Ardhaveedu,38,0.013414
Aspari,16,0.005648
Atlur,8,0.002824
Atmakur,35,0.012355
B kodur,1,0.000353
B kothakota,7,0.002471
Badangi,7,0.002471
Badvel,13,0.004589
Baireddi palle,73,0.025769
Balayapalle,5,0.001765
Ballikuruva,8,0.002824
Banaganapalle,5,0.001765
Bangarupalem,20,0.00706
Bapulapadu,6,0.002118
Bathalapalle,19,0.006707
Beluguppa,32,0.011296
Bestavaripeta,84,0.029652
Bethamcherla,36,0.012708
Bhamini,20,0.00706
Bheemunipatnam,8,0.002824
Bhoghapuram,9,0.003177
Bobbili,24,0.008472
Bollapalle,4,0.001412
Bommanahal,19,0.006707
Bondapalle,18,0.006354
Brahmamgarimattam,7,0.002471
Brahmasamudram,3,0.001059
Buchinaidu khandriga,49,0.017297
Bukkapatnam,14,0.004942
Bukkarayasamudram,40,0.01412
Burja,35,0.012355
Butchayyapeta,5,0.001765
Buttayagudem,39,0.013767
C.belagal,10,0.00353
Chadrasekarapuram,96,0.033888
Chagalamarri,3,0.001059
Chakrayapet,61,0.021533
Chandarlapadu,6,0.002118
Chandragiri,2,0.000706
Chatrai,25,0.008825
Cheedikada,3,0.001059
Cheepurupalle,1,0.000353
Chejerla,1,0.000353
Chenne kothapalle,21,0.007413
Chennur,3,0.001059
Chilakaluripet,1,0.000353
Chilamathur,64,0.022592
Chimakurthi,2,0.000706
Chinaganjam,1,0.000353
Chinnagottigallu,69,0.024357
Chinnamandem,56,0.019768
Chintalapudi,5,0.001765
Chintha kommadinne,9,0.003177
Chippagiri,40,0.01412
Chittamur,1,0.000353
Chittoor,6,0.002118
Chitvel,4,0.001412
Chodavaram,2,0.000706
Chowdepalle,80,0.02824
Cumbum,36,0.012708
D.hirchal,7,0.002471
Dagadarthi,3,0.001059
Darsi,44,0.015532
Dattirajeru,12,0.004236
Denkada,39,0.013767
Devanakonda,94,0.033182
Devarapalle,8,0.002824
Devipatnam,7,0.002471
Dharmavaram,17,0.006001
Dhone,24,0.008472
Donakonda,49,0.017297
Doravarisatram,6,0.002118
Dornala,23,0.008119
Dornipadu,16,0.005648
Durgi,9,0.003177
Duvvur,2,0.000706
