ANAKAPALLI,ANAKAPALLE
A.KONDURU,A KONDURU
ANANTAPUR,ANANTAPUR MANDAL
ARUKU VALLEY,ARAKU VALLEY
ATCHAMPET,ACHAMPETA
ATLOOR,ATLUR
AVANIGADDA,AVANIGADA
B N KANDRIGA,BUCHINAIDU KHANDRI
B.K.SAMUDRAM,BUKKARAYASAMUDRAM
B.KODUR,B KODUR
B.KOTHAKOTA,B KOTHAKOTA
B.MATTAM,BRAHMAMGARIMATTAM
BAIREDDIPALLE,BAIREDDI PALLE
BALAIAHPALLI,BRAHMAMGARIMATTAM
BALLIKURAVA,BALLIKURUVA
BANAGANAPALLI,BANAGANAPALLE
BAPULAPADU,BAPULAPAD
BATHALAPALLI,BATHALAPALLE
BESTAWARIPETA,BESTAVARIPETA
BHEEMILI,BHEEMUNIPATNAM
BOLLAPALLI,BOLLAPALLE
BRAMHASAMUDRAM,BRAHMASAMUDRAM
BUCHINAIDU  KANDRIGA,BUCHINAIDU KHANDRI
BUCHINAIDU KHANDRIGA,BUCHINAIDU KHANDRI
BUKKAPTNAM,BUKKAPATNAM
BUKKARAYA  SAMUDRAM,BUKKARAYASAMUDRAM
BUTTAIGUDEM,BUTTAYAGUDEM
C.BELAGAL,C BELAGAL
C.K. PALLI,CHENNE KOTHAPALLE
C.K.DINNE,CHINTHA KOMMADINNE
CHAKRAYAPET,CHAKNAYAPET
CHALLAPALLI,CHALLAPALLE
CHANDRASEKHARA PURAM,CHADRASEKARAPURAM
CHENNEKOTHAPALLE,CHENNE KOTHAPALLE
CHINTAPALLI,CHINTAPALLE
CHINTHAKOMMADINNE,CHINTHA KOMMADINNE
CHITTOOR,CHITTOOR MANDAL
D.HIRCHAL,D HIRCHAL
DEVARAPALLI,DEVARAPALLE
G K VEEDHI,GUDEM KOTHAVEEDHI
G MADUGULA,GANGARAJU MADUGULA
G.D.NELLORE,GANGADHARA NELLORE
G.KONDURU,G KONDURU
G.SIGADAM,GANGUVARI SINGADAM
GANDEPALLI,GANDEPALLE
GANGADHARANELLORE,GANGADHARA NELLORE
GANGUVARISIGADAM,GANGUVARI SINGADAM
GIDDALUR,GIDDALURU
GUDUPALLE,GUDI PALLE
GUDUPALLI,GUDI PALLE
GUNTUR,GUNTUR MANDAL
IPUR,IPURU
